YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2021-03,WEEKENDS/HOLIDAY,11,TRAIN,NS7,1601,1415
2021-03,WEEKDAY,11,TRAIN,NS7,2838,2077
2021-03,WEEKENDS/HOLIDAY,16,TRAIN,SW4,442,508
2021-03,WEEKDAY,16,TRAIN,SW4,1087,1688
2021-03,WEEKDAY,10,TRAIN,CC5,1623,4696
2021-03,WEEKENDS/HOLIDAY,10,TRAIN,CC5,701,1614
2021-03,WEEKDAY,13,TRAIN,CC23,9420,9529
2021-03,WEEKENDS/HOLIDAY,13,TRAIN,CC23,1293,1326
2021-03,WEEKDAY,22,TRAIN,EW33,929,974
2021-03,WEEKENDS/HOLIDAY,22,TRAIN,EW33,208,288
2021-03,WEEKENDS/HOLIDAY,14,TRAIN,CC21,3244,3067
2021-03,WEEKDAY,14,TRAIN,CC21,7371,7387
2021-03,WEEKENDS/HOLIDAY,18,TRAIN,EW24/NS1,33795,32883
2021-03,WEEKDAY,18,TRAIN,EW24/NS1,184984,131398
2021-03,WEEKDAY,7,TRAIN,NE10,19855,32806
2021-03,WEEKENDS/HOLIDAY,7,TRAIN,NE10,2741,2294
2021-03,WEEKENDS/HOLIDAY,8,TRAIN,EW22,1522,1636
2021-03,WEEKDAY,8,TRAIN,EW22,9397,24346
2021-03,WEEKDAY,7,TRAIN,BP10,12094,3304
2021-03,WEEKENDS/HOLIDAY,7,TRAIN,BP10,1036,414
2021-03,WEEKDAY,15,TRAIN,NE10,12984,12526
2021-03,WEEKENDS/HOLIDAY,15,TRAIN,NE10,4170,4573
2021-03,WEEKDAY,18,TRAIN,EW22,16330,13490
2021-03,WEEKENDS/HOLIDAY,18,TRAIN,EW22,1567,1934
2021-03,WEEKENDS/HOLIDAY,15,TRAIN,CC25,1758,1249
2021-03,WEEKDAY,15,TRAIN,CC25,5155,3642
2021-03,WEEKENDS/HOLIDAY,12,TRAIN,CE1/DT16,5366,12074
2021-03,WEEKDAY,12,TRAIN,CE1/DT16,11669,21667
2021-03,WEEKENDS/HOLIDAY,10,TRAIN,SW6,1669,646
2021-03,WEEKDAY,10,TRAIN,SW6,3544,1498
2021-03,WEEKENDS/HOLIDAY,17,TRAIN,DT31,2304,2769
2021-03,WEEKDAY,17,TRAIN,DT31,8164,12992
2021-03,WEEKENDS/HOLIDAY,15,TRAIN,CC14,1576,2159
2021-03,WEEKDAY,15,TRAIN,CC14,12000,7138
2021-03,WEEKENDS/HOLIDAY,0,TRAIN,NS8,255,962
2021-03,WEEKDAY,0,TRAIN,NS8,574,2714
2021-03,WEEKDAY,18,TRAIN,NS14,40544,80949
2021-03,WEEKENDS/HOLIDAY,18,TRAIN,NS14,9741,12428
2021-03,WEEKENDS/HOLIDAY,12,TRAIN,EW17,9623,9154
2021-03,WEEKDAY,12,TRAIN,EW17,20969,20408
2021-03,WEEKENDS/HOLIDAY,14,TRAIN,CC16,2618,2303
2021-03,WEEKDAY,14,TRAIN,CC16,9964,6601
2021-03,WEEKENDS/HOLIDAY,10,TRAIN,EW11,4495,6014
2021-03,WEEKDAY,10,TRAIN,EW11,12238,16866
2021-03,WEEKDAY,6,TRAIN,NS24/NE6/CC1,2966,8982
2021-03,WEEKENDS/HOLIDAY,6,TRAIN,NS24/NE6/CC1,776,1654
2021-03,WEEKENDS/HOLIDAY,0,TRAIN,EW19,22,128
2021-03,WEEKDAY,0,TRAIN,EW19,59,286
2021-03,WEEKDAY,10,TRAIN,CC22/EW21,9778,16349
2021-03,WEEKENDS/HOLIDAY,10,TRAIN,CC22/EW21,4460,4044
