SUBZONE_N,BUS_TAP_IN_TAP_OUT_VOLUME_WEEKDAY_PEAK,BUS_TAP_IN_TAP_OUT_VOLUME_PEAK,BUS_TAP_IN_TAP_OUT_VOLUME_WEEKDAY,BUS_TAP_IN_TAP_OUT_VOLUME_WEEKLY,BUS_PEAK_HOUR_PERCENTAGE (%),BUS_WEEKDAY_PERCENTAGE (%),MRT_TAP_IN_TAP_OUT_VOLUME_WEEKDAY_PEAK,MRT_TAP_IN_TAP_OUT_VOLUME_PEAK,MRT_TAP_IN_TAP_OUT_VOLUME_WEEKDAY,MRT_TAP_IN_TAP_OUT_VOLUME_WEEKLY,MRT_PEAK_HOUR_PERCENTAGE (%),MRT_WEEKDAY_PERCENTAGE (%),TAP_IN_TAP_OUT_VOLUME_WEEKDAY_PEAK,TAP_IN_TAP_OUT_VOLUME_PEAK,TAP_IN_TAP_OUT_VOLUME_WEEKDAY,TAP_IN_TAP_OUT_VOLUME_WEEKLY,PEAK_HOUR_PERCENTAGE (%),WEEKDAY_PERCENTAGE (%),"('2020', 'Male Percentage')","('2020', '00 - 19')","('2020', '20 - 39')","('2020', '40 - 59')","('2020', '60 & Over')","('2020', 'Average Income')"
TANJONG RHU,15702.0,86276.0,88678.0,505903.0,17.053862104000174,87.64328339622418,32142.0,184827.0,195332.0,1184178.0,15.608042034221207,82.47577644577082,47844.0,271103.0,284010.0,1690081.0,16.040828812346863,84.02260010023188,0.47074707470747074,2270,2480,4060,2290,15983.759781619654
TIONG BAHRU STATION,71864.0,396568.0,435834.0,2505955.0,15.825024790947962,86.95966208491373,158051.0,859036.0,834519.0,4771888.0,18.002015135309126,87.44117632266307,229915.0,1255604.0,1270353.0,7277843.0,17.252419432515925,87.27537815806139,0.4722222222222222,2780,3790,4660,3870,9250.393638170974
TOA PAYOH CENTRAL,270939.0,1499680.0,1699613.0,9782653.0,15.32999279438819,86.8687154701286,212474.0,1165876.0,1181959.0,6833660.0,17.0607844112818,86.48067068013334,483413.0,2665556.0,2881572.0,16616313.0,16.041801812471878,86.70912734973156,0.46236175526221907,5180,6980,8800,7060,8907.312971613366
TOA PAYOH WEST,50888.0,280751.0,293928.0,1685003.0,16.661750750592134,87.21883581216176,118292.0,638049.0,610019.0,3441928.0,18.537546398413912,88.61588621261107,169180.0,918800.0,903947.0,5126931.0,17.92105257511755,88.15673548171411,0.4578397212543554,2100,3580,4140,4550,9548.348559381588
TUAS NORTH,2629.0,14096.0,12044.0,66720.0,21.127098321342924,90.25779376498801,33326.0,175426.0,134924.0,727462.0,24.1147991235281,92.73611542596039,35955.0,189522.0,146968.0,794182.0,23.863799481730886,92.527909219801,,0,0,0,0,
TUAS PROMENADE,7719.0,42122.0,26883.0,153591.0,27.424784004271082,87.51489345078814,19271.0,105279.0,87971.0,492855.0,21.36104939586694,89.24633005650749,26990.0,147401.0,114854.0,646446.0,22.80174987547297,88.83495295817438,,0,0,0,0,
TURF CLUB,18602.0,103016.0,79859.0,456457.0,22.56860996764208,87.47702412275417,45726.0,250407.0,195652.0,1111105.0,22.536753952146736,88.04388424136333,64328.0,353423.0,275511.0,1567562.0,22.54603007727924,87.8788207420185,0.4925373134328358,110,180,190,200,26058.0
UPPER THOMSON,111295.0,611895.0,629407.0,3592314.0,17.03344974854648,87.60467486973577,73248.0,389012.0,322317.0,1782648.0,21.82214323859786,90.40399450704794,184543.0,1000907.0,951724.0,5374962.0,18.621657232181363,88.53309102464353,0.48179652943177953,5180,7080,8780,8350,16754.900789564024
VICTORIA,33638.0,190828.0,252712.0,1482990.0,12.867787375504893,85.20354149387386,35066.0,187506.0,166936.0,935459.0,20.044277728901,89.22678599489662,68704.0,378334.0,419648.0,2418449.0,15.64366252916642,86.75973733578834,0.4772727272727273,150,400,510,700,7023.116279069767
WATERWAY EAST,35980.0,198441.0,238908.0,1358540.0,14.606930970011925,87.928217056546,79153.0,437893.0,517639.0,2937246.0,14.9082848355228,88.11638521254264,115133.0,636334.0,756547.0,4295786.0,14.81298183848078,88.05687713494108,0.49525504151838673,15700,16950,12970,4970,9563.9581027668
WOODLANDS EAST,283127.0,1552276.0,1710348.0,9687117.0,16.024127715191216,88.27951597983177,289600.0,1574654.0,1579028.0,8927028.0,17.63917397817056,88.4408562401731,572727.0,3126930.0,3289376.0,18614145.0,16.79867649037869,88.35689203022756,0.49994948984745935,23130,30470,31480,13910,9709.30099250557
WOODLANDS WEST,129634.0,719971.0,850840.0,4838125.0,14.88119881152306,87.93075829996124,125307.0,689116.0,728756.0,4137581.0,16.655045544727706,88.06546627123433,254941.0,1409087.0,1579596.0,8975706.0,15.698898783003811,87.99285538095833,0.5089943969330581,6220,10300,9840,7560,7374.195426195426
YEW TEE,107981.0,598776.0,708942.0,4064449.0,14.732033788589794,87.21255943917613,194970.0,1054779.0,1037986.0,5862515.0,17.991919850098466,88.5273641090897,302951.0,1653555.0,1746928.0,9926964.0,16.657207581290717,87.98903672865139,0.49777117384843983,8460,11480,13730,6730,11017.340267459138
YIO CHU KANG,114012.0,604035.0,549487.0,3002239.0,20.11948415832317,91.51286756317535,174329.0,916778.0,815902.0,4428233.0,20.703020821171787,92.12500787560185,288341.0,1520813.0,1365389.0,7430472.0,20.467246226080928,91.87767614224238,,0,0,0,0,
YISHUN WEST,251923.0,1406888.0,1609608.0,9260108.0,15.192997749054332,86.91086540243376,318412.0,1741819.0,1775142.0,10164492.0,17.13631138673728,87.32074362398042,570335.0,3148707.0,3384750.0,19424600.0,16.209893640023477,87.12534621047537,0.4956408829530699,9000,14410,17210,13280,8709.09291869614
