SUBZONE_N,BUS_TAP_IN_TAP_OUT_VOLUME_WEEKDAY_PEAK,BUS_TAP_IN_TAP_OUT_VOLUME_PEAK,BUS_TAP_IN_TAP_OUT_VOLUME_WEEKDAY,BUS_TAP_IN_TAP_OUT_VOLUME_WEEKLY,BUS_PEAK_HOUR_PERCENTAGE (%),BUS_WEEKDAY_PERCENTAGE (%),MRT_TAP_IN_TAP_OUT_VOLUME_WEEKDAY_PEAK,MRT_TAP_IN_TAP_OUT_VOLUME_PEAK,MRT_TAP_IN_TAP_OUT_VOLUME_WEEKDAY,MRT_TAP_IN_TAP_OUT_VOLUME_WEEKLY,MRT_PEAK_HOUR_PERCENTAGE (%),MRT_WEEKDAY_PERCENTAGE (%),TAP_IN_TAP_OUT_VOLUME_WEEKDAY_PEAK,TAP_IN_TAP_OUT_VOLUME_PEAK,TAP_IN_TAP_OUT_VOLUME_WEEKDAY,TAP_IN_TAP_OUT_VOLUME_WEEKLY,PEAK_HOUR_PERCENTAGE (%),WEEKDAY_PERCENTAGE (%),"('2020', 'Male Percentage')","('2020', '00 - 19')","('2020', '20 - 39')","('2020', '40 - 59')","('2020', '60 & Over')","('2020', 'Average Income')"
CLEMENTI NORTH,126004.0,689403.0,727939.0,4129226.0,16.695695512912106,88.14472736537066,282501.0,1532615.0,1449359.0,8227575.0,18.627785222255646,88.07935509551722,408505.0,2222018.0,2177298.0,12356801.0,17.982146026305674,88.10120030257022,0.46511627906976744,4900,7370,8230,8320,7221.811797752809
COMMONWEALTH,44427.0,242338.0,248888.0,1416508.0,17.108127875027886,87.85266302767086,96143.0,518719.0,475242.0,2683360.0,19.330950748315544,88.55352990280842,140570.0,761057.0,724130.0,4099868.0,18.56296349053189,88.31137978100759,0.4614285714285714,880,1540,2210,2390,4501.157593123209
COMPASSVALE,48633.0,265102.0,282499.0,1598672.0,16.582638590029724,88.35427154538267,130673.0,713181.0,738661.0,4205748.0,16.957292733658793,87.81565134192539,179306.0,978283.0,1021160.0,5804420.0,16.854104286044084,87.9639998483914,0.48520992366412213,5850,6360,6100,2660,11035.76110845676
CORONATION ROAD,34791.0,187446.0,248447.0,1350592.0,13.878802776856372,91.9770737572857,48490.0,261793.0,285202.0,1570138.0,16.673247829171704,90.82067945620066,83281.0,449239.0,533649.0,2920730.0,15.381051997274653,91.35541457101478,0.4552238805970149,1730,1480,2030,1470,24074.202177293933
CRAWFORD,28794.0,162829.0,205853.0,1208194.0,13.477057492422574,85.19037505566159,26838.0,145089.0,118937.0,690861.0,21.0011854772523,86.0788204863207,55632.0,307918.0,324790.0,1899055.0,16.2142749946684,85.51358438802457,0.5525059665871122,920,1550,2440,3480,4839.634175691937
DAIRY FARM,6451.0,35053.0,44828.0,246999.0,14.191555431398507,90.74530666116057,14749.0,79261.0,81488.0,443280.0,17.880572098899115,91.91481682006858,21200.0,114314.0,126316.0,690279.0,16.560550154357877,91.49633698837717,0.4827089337175792,1650,1820,2310,1160,22169.492063492064
FARRER COURT,17649.0,97071.0,111139.0,628251.0,15.450990129741138,88.45111269222015,30651.0,167071.0,171690.0,965615.0,17.302030312288025,88.90189154062436,48300.0,264142.0,282829.0,1593866.0,16.572409474824106,88.72420893600842,0.4692556634304207,1600,1390,2030,1150,17857.414075286415
FARRER PARK,61834.0,357536.0,411765.0,2471123.0,14.468563483080365,83.31535904930674,107089.0,617652.0,652377.0,3956054.0,15.612830360758473,82.45299482767425,168923.0,975188.0,1064142.0,6427177.0,15.17288227786476,82.7845568902179,0.5075187969924813,410,650,840,750,8786.37751004016
FERNVALE,61097.0,338272.0,407771.0,2317531.0,14.59622330833978,87.97530647917978,74390.0,412519.0,502648.0,2860440.0,14.421522562962341,87.86200724364083,135487.0,750791.0,910419.0,5177971.0,14.499714270319398,87.9127171627651,0.4907328685597687,16850,17760,16770,7430,10298.856310013718
GEYLANG BAHRU,63147.0,347720.0,379351.0,2163627.0,16.07116198864222,87.66552645164809,33785.0,181559.0,156414.0,881801.0,20.589566126597724,88.69007860050057,96932.0,529279.0,535765.0,3045428.0,17.379461934414472,87.96218462560927,0.49822695035460995,1570,2550,3640,3530,6220.198037466548
GEYLANG EAST,225624.0,1268289.0,1404200.0,8217077.0,15.434795122401798,85.4440088610585,86612.0,474995.0,455736.0,2618926.0,18.13701494429396,87.00818579830053,312236.0,1743284.0,1859936.0,10836003.0,16.08788775713702,85.82205080600292,0.4859625668449198,5190,7770,8830,8140,12781.507952622673
GUILIN,61792.0,341429.0,389365.0,2206690.0,15.4724496870879,88.22376500550598,115292.0,633628.0,660078.0,3774086.0,16.788912600295806,87.44872268411477,177084.0,975057.0,1049443.0,5980776.0,16.303185406040956,87.73468526492215,0.4860896445131376,2400,3490,4250,2800,12797.544881889764
HOLLAND ROAD,38791.0,212846.0,226396.0,1281621.0,16.60756182990135,88.32408332884683,34997.0,190314.0,190348.0,1065920.0,17.854435604923445,89.28812668868208,73788.0,403160.0,416744.0,2347541.0,17.173714963870705,88.76181502261302,0.44280442804428044,2810,2330,3600,2100,22701.691449814127
HOUGANG CENTRAL,182016.0,1005452.0,1124244.0,6429637.0,15.637772396793162,87.42670853735599,179711.0,980737.0,977614.0,5582526.0,17.567979083303868,87.56018332919543,361727.0,1986189.0,2101858.0,12012163.0,16.534815586501782,87.48873953841618,0.4978813559322034,750,1390,1360,1220,13416.75641025641
JOO KOON,69982.0,375363.0,326908.0,1812798.0,20.706278360854327,90.16669259343843,133465.0,704439.0,567822.0,3093304.0,22.773028451131864,91.78244362662059,203447.0,1079802.0,894730.0,4906102.0,22.009367110590038,91.18542582278151,,0,0,0,0,
JOO SENG,13952.0,76480.0,85464.0,480064.0,15.931209172110385,89.01313158245567,143226.0,742854.0,503828.0,2720865.0,27.302126345849572,92.58599746771706,157178.0,819334.0,589292.0,3200929.0,25.596756441645535,92.0501516903374,0.49447852760736194,1480,2290,2410,1980,14246.559701492537
JURONG WEST CENTRAL,531102.0,2911378.0,3046192.0,17390009.0,16.741670461470147,87.58454351576242,504524.0,2732616.0,2540626.0,14409543.0,18.96393244393663,88.15775767489642,1035626.0,5643994.0,5586818.0,31799552.0,17.748658849030328,87.84428786921275,0.4989021329987453,14330,18090,20660,10700,10057.25470514429
KAKI BUKIT,213730.0,1156259.0,1085292.0,6109926.0,18.92427175059076,88.81384160790164,125888.0,667823.0,513806.0,2863275.0,23.323746409269106,89.72348097894893,339618.0,1824082.0,1599098.0,8973201.0,20.328108107686433,89.10410008646859,0.4901749663526245,5960,10760,10410,10030,9338.80626857606
KALLANG BAHRU,75533.0,406950.0,352389.0,1979405.0,20.559208449003616,89.01387032972029,29547.0,153654.0,105108.0,569157.0,26.996768905591953,92.33656091377247,105080.0,560604.0,457497.0,2548562.0,21.996875100546898,89.75590941087562,,0,0,0,0,
