Male Percentage,00 - 19,20 - 39,40 - 59,60 & Over,Average Income,SUBZONE_N
0.4936234058514629,6150.000000000005,10720,12170.00000000001,10940,11730.102219927725,ALJUNIED
0.4741655235482396,4280.0,5660,6190.000000000002,5750,19739.484317343173,ANAK BUKIT
0.4925187032418953,13550.000000000007,14460,13709.999999999989,6410,10559.805070656692,ANCHORVALE
0.4850928641251222,13229.999999999996,20760,24609.999999999996,23260,8815.353974689766,BEDOK NORTH
0.4899882214369847,5279.999999999996,6820,7959.999999999995,5420,12406.950806768991,BEDOK RESERVOIR
0.4826552462526766,7580.000000000002,11490,13699.999999999996,13930,14164.927630157701,BEDOK SOUTH
0.4732824427480916,159.99999999999994,330,429.9999999999999,410,8917.41935483871,BENCOOLEN
0.4854937450093161,6490.000000000004,10320,10539.999999999995,10210,9484.91264243082,BENDEMEER
0.4775233248515691,1769.9999999999998,2970,3449.999999999999,3630,7840.828644501279,BOON KENG
0.5121951219512195,70.00000000000003,90,110.00000000000004,120,20536.0,BOULEVARD
0.4869915720043972,5370.000000000003,7870,7779.999999999999,6290,8909.228623853209,BUKIT BATOK CENTRAL
0.4800569800569801,4300.0,7190,8440.000000000005,8150,6985.963532356096,CHENG SAN
0.5833333333333334,30.000000000000004,40,49.99999999999999,10,20536.0,CLARKE QUAY
0.4651162790697674,4900.000000000004,7370,8229.999999999995,8320,7221.811797752809,CLEMENTI NORTH
0.4614285714285714,879.9999999999998,1540,2209.9999999999995,2390,4501.157593123209,COMMONWEALTH
0.4852099236641221,5850.000000000003,6360,6099.999999999998,2660,11035.76110845676,COMPASSVALE
0.4552238805970149,1729.9999999999995,1480,2030.0,1470,24074.20217729393,CORONATION ROAD
0.5525059665871122,920.0000000000003,1550,2439.999999999999,3480,4839.634175691937,CRAWFORD
0.4827089337175792,1649.9999999999998,1820,2310.0,1160,22169.49206349207,DAIRY FARM
0.4692556634304207,1599.9999999999998,1390,2030.0,1150,17857.414075286415,FARRER COURT
0.5075187969924813,410.00000000000017,650,840.0,750,8786.37751004016,FARRER PARK
0.4907328685597687,16850.000000000004,17760,16769.999999999993,7430,10298.856310013718,FERNVALE
0.49822695035461,1569.9999999999998,2550,3639.9999999999973,3530,6220.198037466548,GEYLANG BAHRU
0.4859625668449198,5190.0,7770,8830.000000000007,8140,12781.507952622671,GEYLANG EAST
0.4860896445131376,2400.0000000000005,3490,4250.000000000003,2800,12797.544881889764,GUILIN
0.4428044280442805,2809.9999999999995,2330,3599.999999999998,2100,22701.691449814127,HOLLAND ROAD
0.4978813559322034,749.9999999999999,1390,1359.9999999999995,1220,13416.756410256408,HOUGANG CENTRAL
0.4944785276073619,1479.9999999999998,2290,2410.0,1980,14246.559701492537,JOO SENG
0.4989021329987453,14329.999999999993,18090,20660.000000000007,10700,10057.25470514429,JURONG WEST CENTRAL
0.4901749663526245,5960.000000000003,10760,10409.999999999996,10030,9338.80626857606,KAKI BUKIT
0.4991525423728814,1940.0000000000007,3600,3309.9999999999977,2950,8345.979452054795,KAMPONG UBI
0.492660795302909,6030.000000000003,9950,10369.999999999995,11120,13195.00436919716,KEMBANGAN
0.4858536585365854,1470.0,2970,2990.000000000002,2830,8457.788649706457,KHATIB
0.482258064516129,4699.999999999997,6760,7340.0000000000055,6010,21258.3827009384,KOVAN
0.5237603305785123,1610.0000000000005,2320,3110.0,2650,10963.872570194384,LAVENDER
0.4596273291925466,1390.0,1470,2090.0000000000005,1500,24203.020217729394,LEEDON PARK
0.4817432273262662,1729.9999999999995,2190,2630.000000000001,1960,23290.42619047619,LORONG CHUAN
0.4959464222770532,4590.000000000002,7690,8170.000000000004,7930,7657.9212486697415,MACPHERSON
0.4889502762430939,799.9999999999999,790,1379.9999999999995,680,20672.345679012345,MARITIME SQUARE
0.4906130268199234,15640.000000000007,17460,13630.00000000001,5490,10311.905765179084,MATILDA
0.4723650385604113,2499.9999999999995,3870,4720.000000000004,4490,9747.130659767141,MEI CHIN
0.5075268817204301,2560.0,2100,3219.9999999999986,1410,21092.267391304347,MOULMEIN
0.4632352941176471,2479.999999999999,2030,3130.0,1900,21476.785185185185,NASSIM
0.2916666666666667,30.000000000000004,180,49.99999999999999,0,0.0,NATIONAL UNIVERSITY OF S'PORE
0.4701298701298701,829.9999999999998,960,1320.0,770,21302.141361256545,NATURE RESERVE
0.5111111111111111,90.0,130,139.99999999999994,110,19590.478260869564,NORTHSHORE
0.4861111111111111,180.0,190,299.99999999999994,50,21158.1971830986,ONE NORTH
0.4888888888888889,850.0000000000003,1270,1510.0000000000002,890,22277.17117117117,PASIR PANJANG 1
0.4885235732009925,6899.999999999999,10030,10029.999999999996,5300,13130.212779156329,PASIR RIS CENTRAL
