YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2021-02,WEEKENDS/HOLIDAY,16,TRAIN,CC10/DT26,5937,5022
2021-02,WEEKDAY,16,TRAIN,CC10/DT26,11654,10582
2021-02,WEEKDAY,6,TRAIN,DT28,8556,4982
2021-02,WEEKENDS/HOLIDAY,6,TRAIN,DT28,1082,456
2021-02,WEEKDAY,5,TRAIN,DT7,137,69
2021-02,WEEKENDS/HOLIDAY,5,TRAIN,DT7,28,4
2021-02,WEEKDAY,11,TRAIN,PW5,1585,1166
2021-02,WEEKENDS/HOLIDAY,11,TRAIN,PW5,958,579
2021-02,WEEKENDS/HOLIDAY,18,TRAIN,BP3,1552,1907
2021-02,WEEKDAY,18,TRAIN,BP3,3686,9134
2021-02,WEEKENDS/HOLIDAY,22,TRAIN,CC28,522,1307
2021-02,WEEKDAY,22,TRAIN,CC28,926,2658
2021-02,WEEKENDS/HOLIDAY,13,TRAIN,SW6,1345,1104
2021-02,WEEKDAY,13,TRAIN,SW6,2926,3760
2021-02,WEEKENDS/HOLIDAY,17,TRAIN,DT21,2061,1400
2021-02,WEEKDAY,17,TRAIN,DT21,8390,3367
2021-02,WEEKDAY,19,TRAIN,NE12/CC13,23937,38125
2021-02,WEEKENDS/HOLIDAY,19,TRAIN,NE12/CC13,10620,11322
2021-02,WEEKDAY,6,TRAIN,EW31,711,7412
2021-02,WEEKENDS/HOLIDAY,6,TRAIN,EW31,318,1361
2021-02,WEEKENDS/HOLIDAY,15,TRAIN,EW7,4690,5142
2021-02,WEEKDAY,15,TRAIN,EW7,8243,11518
2021-02,WEEKENDS/HOLIDAY,17,TRAIN,NE12/CC13,13009,13578
2021-02,WEEKDAY,17,TRAIN,NE12/CC13,26708,34225
2021-02,WEEKDAY,8,TRAIN,NS21/DT11,56270,69647
2021-02,WEEKENDS/HOLIDAY,8,TRAIN,NS21/DT11,10772,12189
2021-02,WEEKENDS/HOLIDAY,0,TRAIN,NE16/STC,239,1345
2021-02,WEEKDAY,0,TRAIN,NE16/STC,313,2356
2021-02,WEEKDAY,23,TRAIN,CC23,1273,219
2021-02,WEEKENDS/HOLIDAY,23,TRAIN,CC23,249,104
2021-02,WEEKENDS/HOLIDAY,22,TRAIN,DT13,1828,1177
2021-02,WEEKDAY,22,TRAIN,DT13,5500,2240
2021-02,WEEKDAY,23,TRAIN,NE14,1819,14142
2021-02,WEEKENDS/HOLIDAY,23,TRAIN,NE14,1091,7424
2021-02,WEEKDAY,22,TRAIN,NS9/TE2,16337,29910
2021-02,WEEKENDS/HOLIDAY,22,TRAIN,NS9/TE2,8640,14149
2021-02,WEEKDAY,12,TRAIN,DT22,3046,4128
2021-02,WEEKENDS/HOLIDAY,12,TRAIN,DT22,2016,2817
2021-02,WEEKENDS/HOLIDAY,18,TRAIN,DT28,2776,2618
2021-02,WEEKDAY,18,TRAIN,DT28,20867,12208
2021-02,WEEKENDS/HOLIDAY,12,TRAIN,DT34,1725,1153
2021-02,WEEKDAY,12,TRAIN,DT34,3584,2366
2021-02,WEEKDAY,9,TRAIN,SW7,3171,1048
2021-02,WEEKENDS/HOLIDAY,9,TRAIN,SW7,1211,456
2021-02,WEEKDAY,12,TRAIN,NE17/PTC,27293,24984
2021-02,WEEKENDS/HOLIDAY,12,TRAIN,NE17/PTC,17771,15117
2021-02,WEEKENDS/HOLIDAY,19,TRAIN,NE8,12858,13456
2021-02,WEEKDAY,19,TRAIN,NE8,19669,29084
2021-02,WEEKENDS/HOLIDAY,21,TRAIN,CC24,2277,991
2021-02,WEEKDAY,21,TRAIN,CC24,12216,1818
2021-02,WEEKENDS/HOLIDAY,12,TRAIN,EW8/CC9,21241,24232
2021-02,WEEKDAY,12,TRAIN,EW8/CC9,26239,35031
2021-02,WEEKENDS/HOLIDAY,20,TRAIN,BP5,536,629
2021-02,WEEKDAY,20,TRAIN,BP5,1386,1564
2021-02,WEEKENDS/HOLIDAY,12,TRAIN,EW15,5298,7815
