REGION_N,REGION_C,PLN_AREA_N,PLN_AREA_C,SUBZONE_N,2020,2020,2020,2020,2020,2020,2019,2019,2019,2019,2019,2019,2018,2018,2018,2018,2018,2018,2017,2017,2017,2017,2017,2017,2016,2016,2016,2016,2016,2016,2015,2015,2015,2015,2015,2015,2014,2014,2014,2014,2014,2014,2013,2013,2013,2013,2013,2013,2012,2012,2012,2012,2012,2012,2011,2011,2011,2011,2011,2011
,,,,,Male Percentage,00 - 19,20 - 39,40 - 59,60 & Over,Average Income,Male Percentage,00 - 19,20 - 39,40 - 59,60 & Over,Average Income,Male Percentage,00 - 19,20 - 39,40 - 59,60 & Over,Average Income,Male Percentage,00 - 19,20 - 39,40 - 59,60 & Over,Average Income,Male Percentage,00 - 19,20 - 39,40 - 59,60 & Over,Average Income,Male Percentage,00 - 19,20 - 39,40 - 59,60 & Over,Average Income,Male Percentage,00 - 19,20 - 39,40 - 59,60 & Over,Average Income,Male Percentage,00 - 19,20 - 39,40 - 59,60 & Over,Average Income,Male Percentage,00 - 19,20 - 39,40 - 59,60 & Over,Average Income,Male Percentage,00 - 19,20 - 39,40 - 59,60 & Over,Average Income
EAST REGION,ER,BEDOK,BD,KEMBANGAN,0.492660795302909,6030,9950,10370,11120,13195.00436919716,0.491699604743083,6250,10160,10720,10850,13130.259299191375,0.491437467566165,6460,10510,11130,10460,13043.002651113467,0.49185836133367794,6590,10750,11450,9910,13018.704801889267,0.4899948691636737,6740,10970,11750,9520,12999.193649141072,0.490894901144641,6870,10750,11850,9000,13120.178599735798,0.49224806201550386,7080,11020,12050,8560,13062.239432922026,0.4935467217346412,7370,11010,12180,8170,12914.699895068206,0.49370017999485727,7650,11100,12260,7880,12934.092500653253,0.49393548387096775,7820,11240,12210,7510,12904.583769633507
EAST REGION,ER,BEDOK,BD,SIGLAP,0.46273291925465837,980,1440,1860,2180,20536.0,0.46390168970814133,1050,1440,1930,2130,20536.0,0.4627092846270928,1070,1490,1970,2050,20536.0,0.46827794561933533,1070,1560,2010,1990,20536.0,0.4646017699115044,1090,1670,2050,1970,20536.0,0.46320346320346323,1150,1750,2120,1910,20536.0,0.4592696629213483,1220,1840,2150,1920,20536.0,0.4613259668508287,1290,1930,2180,1870,20536.0,0.4579310344827586,1350,1890,2190,1830,20536.0,0.461118690313779,1370,1990,2210,1790,20536.0
CENTRAL REGION,CR,BISHAN,BS,BISHAN EAST,0.4742049469964664,4680,7630,8040,7950,10510.253752680486,0.4743096819293953,4740,7840,8310,7720,10444.182461103253,0.4765217391304348,4800,8070,8520,7370,10332.404787046815,0.47688060731538995,4990,8170,8860,6960,10167.185624563852,0.4787123572170301,5120,8250,8940,6600,9904.374387683694,0.4774462179042332,5210,8470,9010,6140,9716.483769633507,0.4781569965870307,5500,8630,9310,5880,9682.833218943033,0.48001343634531407,5800,8890,9550,5550,9671.726351351352,0.4795884500497843,6050,9130,9680,5260,9690.212879546212,0.48,6330,9250,9750,4930,9694.945695364238
CENTRAL REGION,CR,BISHAN,BS,MARYMOUNT,0.49561107359891965,5570,8270,8910,6870,12467.14972899729,0.49666221628838453,5800,8330,9260,6580,12464.532128514056,0.49454545454545457,5950,8560,9490,6270,12390.071594298972,0.49641460234680573,6290,8670,9840,5870,12329.55344883949,0.4946791357626572,6560,8860,10060,5520,12297.118084762213,0.4963526799873137,6990,9030,10340,5190,12232.781031190325,0.49528894472361806,7300,9150,10500,4900,12208.270951480781,0.49593241551939926,7600,9230,10560,4580,12214.58202388435,0.4942492012779553,7650,9000,10420,4240,12084.336220725056,0.4932781799379524,7180,8030,9950,3880,11711.114572516442
CENTRAL REGION,CR,BISHAN,BS,UPPER THOMSON,0.48179652943177953,5180,7080,8780,8350,16754.900789564024,0.48165760869565216,5280,7100,8930,8120,16674.886145404664,0.4828755510342489,5330,7190,9110,7860,16567.011973999317,0.4831864185439112,5630,7600,9570,7840,16650.27658873889,0.4839350778403445,5630,7480,9560,7510,16524.973587428954,0.48450889914304546,5790,7550,9770,7220,16418.359400998335,0.4855378615534612,6060,7700,10070,6970,16347.969816272966,0.4851899549259498,6370,7790,10220,6660,16302.964575885602,0.48561381074168797,6610,7930,10350,6390,16122.003362474781,0.48589540412044374,6960,8020,10450,6130,16126.358666666667
WEST REGION,WR,BOON LAY,BL,LIU FANG,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,
WEST REGION,WR,BOON LAY,BL,SAMULUN,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,
WEST REGION,WR,BOON LAY,BL,SHIPYARD,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,
WEST REGION,WR,BOON LAY,BL,TUKANG,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,
WEST REGION,WR,BUKIT BATOK,BK,BRICKWORKS,0.4944500504540868,5490,8150,4520,1660,7239.783838383838,0.493687707641196,3900,6400,3550,1200,7264.520930232558,0.49606299212598426,1340,2110,1240,410,6945.680473372781,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,
WEST REGION,WR,BUKIT BATOK,BK,BUKIT BATOK CENTRAL,0.4869915720043972,5370,7870,7780,6290,8909.22862385321,0.48826118855465883,5420,7860,7960,6040,8910.362233651727,0.4885467517837026,5270,7660,8010,5700,8870.084210526316,0.4892515923566879,4820,7070,7900,5340,8878.942959712804,0.49027993779160184,5150,7340,8210,5020,8856.067030397506,0.4904067536454336,5380,7560,8410,4700,8857.540176855056,0.4909433962264151,5670,7860,8560,4380,8891.13875236295,0.48928974069898534,5870,8070,8710,3970,8946.973644578313,0.48899012908124523,5910,8110,8630,3670,9113.39901103081,0.49073724007561437,6100,8330,8600,3410,9119.722832260508
WEST REGION,WR,BUKIT BATOK,BK,BUKIT BATOK EAST,0.4952755905511811,1820,3460,3860,3570,7242.1926751592355,0.49415432579890883,1910,3500,4020,3390,7236.871552403467,0.49623493975903615,2100,3690,4280,3230,7253.131558935361,0.4956584659913169,2360,3930,4480,3070,7242.840029218408,0.4954449894884373,2560,4130,4690,2900,7230.862606232295,0.49965682910089226,2740,4320,4810,2710,7233.461218836565,0.4996651038178165,2910,4580,4950,2500,7229.096075778079,0.5019893899204244,3010,4700,5070,2340,7228.3949129852745,0.49967553536664505,3170,4870,5200,2190,7212.096922069417,0.5012870012870013,3300,4990,5230,2030,7204.696950032447
WEST REGION,WR,BUKIT BATOK,BK,BUKIT BATOK SOUTH,0.49296718017414604,3000,4670,4430,2840,11002.208193418403,0.4916611074049366,3060,4740,4530,2650,11036.460200668897,0.49001331557922767,3160,4760,4660,2450,11044.374916611074,0.488952245188881,2950,4290,4600,2180,11233.708363116511,0.49089584850691914,2960,4150,4620,2010,11303.025528811087,0.4921090387374462,3210,4180,4740,1840,11307.47088425593,0.4929478138222849,3400,4230,4880,1650,11295.883934890304,0.4926522043386984,3570,4210,4970,1530,11308.590462833099,0.4934256055363322,3750,4280,5010,1410,11292.268884268884,0.49344375431331955,3950,4250,5020,1270,11301.51141868512
WEST REGION,WR,BUKIT BATOK,BK,BUKIT BATOK WEST,0.4866666666666667,2800,4220,4340,3650,7824.510695187166,0.48835662009314706,2860,4270,4450,3450,7824.862483311082,0.4883419689119171,2970,4510,4620,3310,7804.777633289987,0.48951048951048953,3170,4620,4840,3120,7781.897959183673,0.4902880107166778,3010,4230,4800,2890,7685.981182795699,0.4911125740618828,3190,4370,4890,2740,7675.297225891678,0.4913294797687861,3360,4570,5100,2540,7668.23969072165,0.49266113592852584,3530,4620,5170,2380,7665.243277848912,0.49304677623261695,3650,4720,5220,2230,7656.130627774255,0.4946908182386009,3780,4900,5290,2030,7645.889585947302
WEST REGION,WR,BUKIT BATOK,BK,GOMBAK,0.4874118831822759,2020,2650,3100,2160,15147.782520325203,0.489,2040,2720,3120,2100,15142.60685483871,0.48908730158730157,2140,2790,3100,2060,14945.522,0.4910891089108911,2220,2870,3070,1960,14650.313373253493,0.4939516129032258,2250,2930,2910,1850,14362.962436548223,0.49287169042769857,2220,3040,2800,1790,14097.270298047277,0.4886128364389234,2180,3090,2700,1700,13685.464435146443,0.48772678762006405,2080,3130,2560,1580,13251.877155172413,0.4876210979547901,2090,3160,2550,1500,13078.979325353645,0.4888641425389755,2000,3150,2440,1410,12690.184684684684
WEST REGION,WR,BUKIT BATOK,BK,GUILIN,0.4860896445131376,2400,3490,4250,2800,12797.544881889764,0.48540706605222733,2480,3510,4350,2670,12758.805946791863,0.486651411136537,2560,3570,4440,2550,12683.33177933178,0.48683220466516175,2690,3690,4530,2410,12519.359877488514,0.48760330578512395,2770,3720,4530,2310,12360.779816513761,0.48667174409748665,2830,3800,4490,2040,12206.302521008403,0.48698884758364314,3010,3960,4570,1910,12148.010416666666,0.48813056379821956,3060,4040,4560,1820,12094.635014836795,0.4896907216494845,3160,4130,4560,1710,12059.638643067847,0.4877521613832853,3320,4260,4650,1650,12049.499639509733
WEST REGION,WR,BUKIT BATOK,BK,HILLVIEW,0.4815966822187662,3670,5160,6540,3940,21158.5642370215,0.48221757322175735,3810,5040,6620,3630,21176.738396624474,0.48261327713382507,3880,5010,6640,3460,21181.847953216373,0.48242811501597443,3990,4870,6670,3250,21210.28402366864,0.4833242208857299,4070,4610,6600,3020,21228.53812154696,0.482436882546652,4290,4510,6610,2820,21245.75290858726,0.4813800657174151,4470,4540,6630,2640,21253.3410724157,0.4839412084921067,4680,4540,6750,2420,21257.71114772103,0.4820936639118457,4830,4530,6680,2140,21249.893922651932,0.4825677919203099,5010,4450,6680,1930,21249.602884082084
WEST REGION,WR,BUKIT BATOK,BK,HONG KAH NORTH,0.4982791586998088,4450,7240,7940,6520,8110.624758966448,0.4977307110438729,4740,7370,8180,6150,8109.3381624094545,0.4992537313432836,4930,7630,8500,5740,8138.603688370343,0.5010940919037199,5250,8010,8880,5310,8168.665439823335,0.501973448152135,5470,8230,9230,4950,8255.017734346724,0.5031757233592096,5760,8480,9500,4590,8265.128917378917,0.5029300241296105,6080,8900,9790,4230,8260.116133518775,0.5042473666326878,6420,9130,9880,3990,8252.245457661982,0.5035484961135519,6710,9300,9920,3680,8224.75648021828,0.5045045045045045,7030,9560,10000,3390,8247.733333333334
CENTRAL REGION,CR,BUKIT MERAH,BM,ALEXANDRA HILL,0.49147516679021497,1990,3220,3730,4560,6444.4153256704985,0.4923413566739606,2110,3280,3880,4430,6394.546686746988,0.49157303370786515,2310,3460,4060,4430,6316.912917271407,0.4935940660822657,2540,3620,4320,4360,6262.319163763066,0.4947916666666667,2720,3800,4560,4290,6251.890982503364,0.49329073482428115,2870,3920,4700,4190,6252.784158415841,0.49375,2970,4060,4870,4100,6272.75210355987,0.49502487562189057,3090,4230,4890,3880,6308.331626120358,0.4944920440636475,3180,4410,4910,3840,6355.0385831752055,0.4944852941176471,3220,4420,4990,3700,6400.148802017655
CENTRAL REGION,CR,BUKIT MERAH,BM,ALEXANDRA NORTH,0.467680608365019,630,790,940,270,20536.0,0.46226415094339623,510,660,750,200,20536.0,0.46099290780141844,350,420,480,150,20536.0,0.4528301886792453,250,300,360,120,20536.0,0.46153846153846156,240,320,360,110,20536.0,0.45,250,300,340,100,20536.0,0.4479166666666667,230,300,340,90,20536.0,0.45161290322580644,230,290,340,80,20536.0,0.43820224719101125,210,280,320,90,20536.0,0.44047619047619047,200,280,290,100,20536.0
CENTRAL REGION,CR,BUKIT MERAH,BM,BUKIT HO SWEE,0.48992355802640725,2090,3350,4060,4890,6316.669461914745,0.48848238482384826,2220,3500,4190,4860,6295.076294277929,0.4891089108910891,2340,3660,4370,4780,6252.403450564035,0.48881789137380194,2470,3920,4570,4710,6195.847141939627,0.48877805486284287,2600,4110,4710,4640,6150.267252195734,0.48987108655616945,2640,4270,4860,4540,6140.969771745836,0.49148418491484186,2670,4360,4990,4440,6137.830882352941,0.4908312958435208,2620,4410,4990,4360,6149.128078817734,0.4971590909090909,2920,4780,5500,4430,5866.468499427262,0.49612864800476475,2860,4400,5410,4120,5657.5120192307695
CENTRAL REGION,CR,BUKIT MERAH,BM,BUKIT MERAH,0.49107142857142855,200,250,330,340,10203.02752293578,0.5,180,270,310,350,10187.308411214954,0.49557522123893805,200,280,330,340,10203.02752293578,0.4956521739130435,220,300,330,340,10164.9009009009,0.4956521739130435,210,290,340,330,10203.02752293578,0.4830508474576271,230,290,350,330,10195.478260869566,0.48760330578512395,240,320,370,310,10209.982905982906,0.5,260,310,390,300,10156.916666666666,0.49193548387096775,250,320,390,270,10156.916666666666,0.49612403100775193,270,350,400,270,10178.552845528455
CENTRAL REGION,CR,BUKIT MERAH,BM,CITY TERMINALS,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,
CENTRAL REGION,CR,BUKIT MERAH,BM,DEPOT ROAD,0.4724770642201835,1410,1630,2100,1400,12455.076452599389,0.47685185185185186,1400,1660,2070,1370,12460.70061728395,0.4780564263322884,1370,1680,2010,1310,12493.329153605016,0.47796610169491527,1260,1540,1880,1240,12698.518644067797,0.47752808988764045,1130,1430,1710,1080,12615.970037453184,0.47692307692307695,1110,1450,1620,1020,12217.97302504817,0.4757085020242915,1050,1430,1490,970,11599.030303030304,0.4745762711864407,820,1270,1150,890,9734.198547215496,0.47721822541966424,810,1350,1130,880,9732.585131894484,0.476303317535545,850,1400,1120,870,9738.02375296912
CENTRAL REGION,CR,BUKIT MERAH,BM,EVERTON PARK,0.4717948717948718,1130,1850,2360,2470,9409.234152652005,0.47103274559193953,1200,1850,2430,2480,9297.046894803549,0.47030878859857483,1360,1990,2560,2510,9379.85389221557,0.47085714285714286,1490,2140,2640,2490,9198.380184331798,0.4735099337748344,1570,2330,2720,2460,9162.84949832776,0.47339246119733924,1540,2390,2710,2370,9136.40134529148,0.47345132743362833,1560,2480,2690,2310,9034.574301675977,0.47613636363636364,1470,2440,2650,2250,9230.827586206897,0.4755244755244755,1390,2530,2530,2160,9719.277449822905,0.47559591373439275,1430,2690,2600,2090,9712.94663573086
