OBJECTID_left,STN_NAME,STN_NO,geometry,index_right,OBJECTID_right,SUBZONE_NO,SUBZONE_N,SUBZONE_C,CA_IND,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR,SHAPE_Leng,SHAPE_Area
12,ADMIRALTY MRT STATION,NS10,POINT (24402.1063000001 46918.11309999973),289,290,3,WOODLANDS EAST,WDSZ03,N,WOODLANDS,WD,NORTH REGION,NR,C90769E43EE6B0F2,2014-12-05,24506.6375,46991.63,6603.60830097,2553463.72392
16,ALJUNIED MRT STATION,EW9,POINT (33518.60489999969 33190.00200000033),162,163,4,ALJUNIED,GLSZ04,N,GEYLANG,GL,CENTRAL REGION,CR,83AFAB768B6B2B66,2014-12-05,33592.5759,32970.8301,7100.69907893,2959367.62528
17,ANG MO KIO MRT STATION,NS16,POINT (29848.98359999992 39040.9896000009),247,248,2,CHENG SAN,AMSZ02,N,ANG MO KIO,AM,NORTH-EAST REGION,NER,504511A82C516D62,2014-12-05,30312.1923,39413.3478,4218.95806162,955710.188701
33,ANG MO KIO MRT STATION,NS16,POINT (29807.26549999975 39105.77199999988),247,248,2,CHENG SAN,AMSZ02,N,ANG MO KIO,AM,NORTH-EAST REGION,NER,504511A82C516D62,2014-12-05,30312.1923,39413.3478,4218.95806162,955710.188701
81,BAKAU LRT STATION,SE3,POINT (36026.08210000023 41113.87659999914),259,260,2,RIVERVALE,SESZ02,N,SENGKANG,SE,NORTH-EAST REGION,NER,986666487FF7CF78,2014-12-05,35977.6113,41060.8024,6315.95441659,1569034.7842
80,BANGKIT LRT STATION,BP9,POINT (21248.24600000028 40220.9693),209,210,4,BANGKIT,BPSZ04,N,BUKIT PANJANG,BP,WEST REGION,WR,434BCF269E20F681,2014-12-05,21431.2286,39899.5272,4350.13572206,763183.429445
153,BARTLEY MRT STATION,CC12,POINT (33168.30389999971 36108.70030000061),161,162,10,BIDADARI,TPSZ10,N,TOA PAYOH,TP,CENTRAL REGION,CR,B522727043B8AF0C,2014-12-05,32632.5394,35918.015,3323.74283763,572502.13978
115,BAYFRONT MRT STATION,DT16 / CE1,POINT (30867.00930000003 29368.625),40,41,12,BAYFRONT SUBZONE,DTSZ12,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,197F5E664DA4D5E1,2014-12-05,30806.2418,29530.167,2897.12642569,521200.522376
140,BEAUTY WORLD MRT STATION,DT5,POINT (21598.16650000028 35931.23589999974),210,211,1,ANAK BUKIT,BTSZ01,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,22AC7070AFD473BD,2014-12-05,21127.1918,35561.884,7637.80947893,2768353.55736
37,BEDOK MRT STATION,EW5,POINT (38757.95199999958 34024.70480000041),198,199,4,BEDOK NORTH,BDSZ04,N,BEDOK,BD,EAST REGION,ER,A2254301F85C1EDF,2014-12-05,39429.2104,34737.6194,8414.96210185,3203663.49324
143,BEDOK NORTH MRT STATION,DT29,POINT (37421.74380000029 35214.68040000089),148,149,1,KAKI BUKIT,BDSZ01,N,BEDOK,BD,EAST REGION,ER,0E5F89C6D8042867,2014-12-05,36485.3951,35307.0408,8153.88813505,2820171.67856
149,BEDOK RESERVOIR MRT STATION,DT30,POINT (39008.31319999974 35421.04089999944),152,153,2,BEDOK RESERVOIR,BDSZ02,N,BEDOK,BD,EAST REGION,ER,F3CEF1310CE15C52,2014-12-05,38351.1166,35800.6076,6899.52590019,2379331.52887
100,BENCOOLEN MRT STATION,DT21,POINT (29899.2575000003 31247.3367999997),58,59,10,VICTORIA,RCSZ10,Y,ROCHOR,RC,CENTRAL REGION,CR,DD1436D810825828,2014-12-05,30189.2101,31335.7252,2093.77023342,214250.298128
99,BENDEMEER MRT STATION,DT23,POINT (31300.80840000045 32884.73819999956),132,133,8,KALLANG BAHRU,KLSZ08,N,KALLANG,KL,CENTRAL REGION,CR,F605DD67E5154CFB,2014-12-05,31579.2889,32929.5276,3710.90460199,839488.977186
109,BISHAN MRT STATION,CC15,POINT (29762.3507000003 37046.36989999935),180,181,3,BISHAN EAST,BSSZ03,N,BISHAN,BS,CENTRAL REGION,CR,54980EC3DD176721,2014-12-05,30191.9092,36882.1939,5680.71940217,1794461.26208
158,BISHAN MRT STATION,NS17,POINT (29649.89879999962 36994.43300000019),180,181,3,BISHAN EAST,BSSZ03,N,BISHAN,BS,CENTRAL REGION,CR,54980EC3DD176721,2014-12-05,30191.9092,36882.1939,5680.71940217,1794461.26208
178,BOON KENG MRT STATION,NE9,POINT (31157.07120000012 33517.60889999941),108,109,1,BENDEMEER,KLSZ01,N,KALLANG,KL,CENTRAL REGION,CR,69C9F7CD6F08EA3A,2014-12-05,31175.9571,33827.9445,5603.00091056,1376830.04527
34,BOON LAY MRT STATION,EW27,POINT (13837.98269999959 35641.91909999959),151,152,9,JURONG WEST CENTRAL,JWSZ09,N,JURONG WEST,JW,WEST REGION,WR,1D90F8ED7A36C82C,2014-12-05,13396.6261,35811.7261,4649.79715009,1404536.64286
159,BOTANIC GARDENS MRT STATION,DT9,POINT (26087.26630000025 33852.44840000011),163,164,4,TYERSALL,TNSZ04,N,TANGLIN,TN,CENTRAL REGION,CR,DAC6AB8C67377C3B,2014-12-05,25732.6536,32985.8494,6430.98614739,2158289.71575
185,BOTANIC GARDENS MRT STATION,CC19,POINT (25959.40460000001 33817.75249999948),163,164,4,TYERSALL,TNSZ04,N,TANGLIN,TN,CENTRAL REGION,CR,DAC6AB8C67377C3B,2014-12-05,25732.6536,32985.8494,6430.98614739,2158289.71575
182,BRADDELL MRT STATION,NS18,POINT (29500.09719999973 35848.06870000064),147,148,1,TOA PAYOH WEST,TPSZ01,N,TOA PAYOH,TP,CENTRAL REGION,CR,F09D85529E92E6F5,2014-12-05,28943.1923,35787.3478,4516.83996636,1037281.09446
93,BRAS BASAH MRT STATION,CC2,POINT (29930.76740000024 31025.90159999952),45,46,3,BRAS BASAH,MUSZ03,Y,MUSEUM,MU,CENTRAL REGION,CR,5A1130F73E65C2D7,2014-12-05,29793.0931,30958.0952,2348.65717267,223206.603187
183,BUANGKOK MRT STATION,NE15,POINT (34655.31319999974 40537.20690000057),225,226,5,COMPASSVALE,SESZ05,N,SENGKANG,SE,NORTH-EAST REGION,NER,380E7DCFD2E09905,2014-12-05,34304.2505,40761.0908,5216.01738046,1093213.49087
103,BUGIS MRT STATION,DT14,POINT (30620.87689999957 31323.24950000085),57,58,1,BUGIS,DTSZ01,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,E042FEB6C937D5A5,2014-12-05,30528.3347,31278.4644,2658.88164763,280174.766696
111,BUGIS MRT STATION,EW12,POINT (30491.56479999982 31424.35029999912),58,59,10,VICTORIA,RCSZ10,Y,ROCHOR,RC,CENTRAL REGION,CR,DD1436D810825828,2014-12-05,30189.2101,31335.7252,2093.77023342,214250.298128
32,BUKIT BATOK MRT STATION,NS2,POINT (18679.35410000011 36795.01410000026),174,175,7,BUKIT BATOK CENTRAL,BKSZ07,N,BUKIT BATOK,BK,WEST REGION,WR,4CE31051AB87CA5E,2014-12-05,18773.5578,36680.0524,3782.82695881,800298.564475
117,BUKIT BROWN MRT STATION,CC18,POINT (27707.41660000011 35102.48020000011),154,155,5,MOUNT PLEASANT,NVSZ05,N,NOVENA,NV,CENTRAL REGION,CR,F910FC998DE2CB15,2014-12-05,27515.3125,35112.6183,7234.11074506,3142950.10821
35,BUKIT GOMBAK MRT STATION,NS3,POINT (18938.33050000016 37870.6512000002),184,185,4,GUILIN,BKSZ04,N,BUKIT BATOK,BK,WEST REGION,WR,1EC9354628DA67BE,2014-12-05,19151.8276,37505.9793,5564.33323058,1085080.08317
47,BUKIT PANJANG LRT STATION,BP6,POINT (20175.93530000001 39987.9068),205,206,5,JELEBU,BPSZ05,N,BUKIT PANJANG,BP,WEST REGION,WR,61A034F12715D43D,2014-12-05,20535.3901,39769.4445,3992.42603071,911208.285046
171,BUKIT PANJANG MRT STATION,DT1,POINT (20011.39809999987 40108.6838000007),254,255,1,GOMBAK,BKSZ01,N,BUKIT BATOK,BK,WEST REGION,WR,1DCF02A5C4038697,2014-12-05,19560.7028,39034.544,7921.55721089,2459098.26541
28,BUONA VISTA MRT STATION,EW21,POINT (23200.36000000034 32167.26549999975),66,67,8,ONE NORTH,QTSZ08,N,QUEENSTOWN,QT,CENTRAL REGION,CR,D437A9A68F04D2D4,2014-12-05,23299.2437,31176.1605,6591.90791444,2051652.62174
124,BUONA VISTA MRT STATION,CC22,POINT (23251.76109999977 32090.76920000091),66,67,8,ONE NORTH,QTSZ08,N,QUEENSTOWN,QT,CENTRAL REGION,CR,D437A9A68F04D2D4,2014-12-05,23299.2437,31176.1605,6591.90791444,2051652.62174
127,CALDECOTT MRT STATION,CC17,POINT (28691.24509999994 35538.76799999923),147,148,1,TOA PAYOH WEST,TPSZ01,N,TOA PAYOH,TP,CENTRAL REGION,CR,F09D85529E92E6F5,2014-12-05,28943.1923,35787.3478,4516.83996636,1037281.09446
0,CANBERRA MRT STATION,NS12,POINT (27598.62177101383 47200.24193103178),307,308,2,SEMBAWANG SPRINGS,SBSZ02,N,SEMBAWANG,SB,NORTH REGION,NR,C739B507A1ACBDB3,2014-12-05,27076.8118,46959.0886,4212.04224667,1099394.72041
172,CASHEW MRT STATION,DT2,POINT (20362.95909999963 39043.58349999972),244,245,6,DAIRY FARM,BPSZ06,N,BUKIT PANJANG,BP,WEST REGION,WR,FE385B2E17662DDF,2014-12-05,21181.12,38939.8375,4814.19537542,1235901.7517
180,CHANGI AIRPORT MRT STATION,CG2,POINT (45254.86139999982 37711.0150000006),268,269,3,CHANGI AIRPORT,CHSZ03,N,CHANGI,CH,EAST REGION,ER,70B39BA5469B9018,2014-12-05,46661.849,36599.8158,28163.2282682,35096028.587
70,CHENG LIM LRT STATION,SW1,POINT (34730.46279999986 42018.88859999925),272,273,4,ANCHORVALE,SESZ04,N,SENGKANG,SE,NORTH-EAST REGION,NER,F00F5344E293F642,2014-12-05,34218.5354,41815.316,5112.46178675,1499108.62608
131,CHINATOWN MRT STATION,NE4,POINT (29124.95849999972 29643.4785999991),35,36,3,CHINATOWN,OTSZ03,Y,OUTRAM,OT,CENTRAL REGION,CR,0FF1661344C84AED,2014-12-05,29153.9676,29158.0443,4297.59991003,587222.678854
132,CHINATOWN MRT STATION,DT19,POINT (29238.96829999983 29686.53590000048),38,39,4,CHINA SQUARE,OTSZ04,Y,OUTRAM,OT,CENTRAL REGION,CR,B609DF5587626C8F,2014-12-05,29509.6437,29646.4495,1605.27969734,133006.936012
2,CHINESE GARDEN MRT STATION,EW25,POINT (16790.74660000019 36056.30189999938),146,147,4,LAKESIDE,JESZ04,N,JURONG EAST,JE,WEST REGION,WR,3BBFD45071B70ECF,2014-12-05,16697.0118,35114.9062,8828.63382968,3108023.27378
65,CHOA CHU KANG LRT STATION,BP1,POINT (18121.60520000011 40753.86930000037),219,220,3,CHOA CHU KANG CENTRAL,CKSZ03,N,CHOA CHU KANG,CK,WEST REGION,WR,CCB9716DE31DDEF5,2014-12-05,18465.672,40772.9207,4202.49660819,1097298.79854
19,CHOA CHU KANG MRT STATION,NS4,POINT (18097.92709999997 40811.9589000009),219,220,3,CHOA CHU KANG CENTRAL,CKSZ03,N,CHOA CHU KANG,CK,WEST REGION,WR,CCB9716DE31DDEF5,2014-12-05,18465.672,40772.9207,4202.49660819,1097298.79854
95,CITY HALL MRT STATION,EW13 / NS25,POINT (30144.28509999998 30591.84779999964),47,48,2,CITY HALL,DTSZ02,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,C3663E9926627289,2014-12-05,30209.0736,30536.5079,4544.16984709,710568.702938
157,CLARKE QUAY MRT STATION,NE5,POINT (29473.12490000017 30088.70380000025),7,8,2,CLARKE QUAY,SRSZ02,Y,SINGAPORE RIVER,SR,CENTRAL REGION,CR,48661DC0FBA09F7A,2014-12-05,29253.2073,30222.8645,2208.61929874,290184.652686
15,CLEMENTI MRT STATION,EW23,POINT (20430.05999999959 33026.60749999993),167,168,4,CLEMENTI NORTH,CLSZ04,N,CLEMENTI,CL,WEST REGION,WR,FE2A39D748C39557,2014-12-05,20613.245,33368.8225,4251.4453646,991039.780668
8,COMMONWEALTH MRT STATION,EW20,POINT (24103.25229999982 31642.60339999944),69,70,3,COMMONWEALTH,QTSZ03,N,QUEENSTOWN,QT,CENTRAL REGION,CR,2423D1D91E730899,2014-12-05,24278.7709,31919.97,2713.42997115,310513.647374
83,COMPASSVALE LRT STATION,SE1,POINT (35475.56309999991 41821.57829999924),271,272,3,SENGKANG TOWN CENTRE,SESZ03,N,SENGKANG,SE,NORTH-EAST REGION,NER,5A2D0E9E6B285069,2014-12-05,35163.812,41501.1418,5216.40050197,1455507.85939
55,CORAL EDGE LRT STATION,PE3,POINT (36820.84549999982 41757.06420000084),262,263,4,PUNGGOL FIELD,PGSZ04,N,PUNGGOL,PG,NORTH-EAST REGION,NER,7462F6141FA74A37,2014-12-05,36673.8994,41847.0902,5229.11611385,1378710.5357
59,COVE LRT STATION,PE1,POINT (36084.22929999977 42351.13340000063),262,263,4,PUNGGOL FIELD,PGSZ04,N,PUNGGOL,PG,NORTH-EAST REGION,NER,7462F6141FA74A37,2014-12-05,36673.8994,41847.0902,5229.11611385,1378710.5357
154,DAKOTA MRT STATION,CC8,POINT (34159.27410000004 32299.89049999975),162,163,4,ALJUNIED,GLSZ04,N,GEYLANG,GL,CENTRAL REGION,CR,83AFAB768B6B2B66,2014-12-05,33592.5759,32970.8301,7100.69907893,2959367.62528
58,DAMAI LRT STATION,PE7,POINT (36378.1827999996 43009.37939999998),266,267,5,WATERWAY EAST,PGSZ05,N,PUNGGOL,PG,NORTH-EAST REGION,NER,A9E7E4A7DEE0B6F2,2014-12-05,37063.2238,42568.2237,5391.06510657,1489246.88272
144,DHOBY GHAUT MRT STATION,NS24,POINT (29424.14479999989 31229.31430000067),56,57,1,DHOBY GHAUT,MUSZ01,Y,MUSEUM,MU,CENTRAL REGION,CR,AD3DE26295353551,2014-12-05,29320.0735,31245.7483,2584.78830957,221973.341827
165,DHOBY GHAUT MRT STATION,CC1,POINT (29437.94010000024 31244.9617999997),56,57,1,DHOBY GHAUT,MUSZ01,Y,MUSEUM,MU,CENTRAL REGION,CR,AD3DE26295353551,2014-12-05,29320.0735,31245.7483,2584.78830957,221973.341827
164,DHOBY GHAUT MRT STATION,NE6,POINT (29354.36809999961 31340.34789999947),56,57,1,DHOBY GHAUT,MUSZ01,Y,MUSEUM,MU,CENTRAL REGION,CR,AD3DE26295353551,2014-12-05,29320.0735,31245.7483,2584.78830957,221973.341827
29,DOVER MRT STATION,EW22,POINT (21914.55090000015 32634.1185999997),128,129,9,SINGAPORE POLYTECHNIC,QTSZ09,N,QUEENSTOWN,QT,CENTRAL REGION,CR,8E9608C7B3B27AD7,2014-12-05,21751.751,32627.8947,4666.97006782,946651.418645
123,DOWNTOWN MRT STATION,DT17,POINT (30172.62590000033 29100.18759999983),30,31,11,CENTRAL SUBZONE,DTSZ11,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,8EFE9EC1AEF2DA0A,2014-12-05,30125.8367,28683.0399,5002.01615114,1070723.25635
125,ESPLANADE MRT STATION,CC3,POINT (30469.05659999978 30634.46209999919),47,48,2,CITY HALL,DTSZ02,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,C3663E9926627289,2014-12-05,30209.0736,30536.5079,4544.16984709,710568.702938
1,EUNOS MRT STATION,EW7,POINT (35782.95529999956 33560.07760000043),169,170,5,GEYLANG EAST,GLSZ05,N,GEYLANG,GL,CENTRAL REGION,CR,58687154BD252A0A,2014-12-05,35237.1681,33246.0587,7028.34007067,2579087.16991
122,EXPO MRT STATION,DT35,POINT (42362.71030000038 35285.66540000029),212,213,5,XILIN,TMSZ05,N,TAMPINES,TM,EAST REGION,ER,1511CC4BB4BE642B,2014-12-05,43110.6141,34607.3132,12926.0469938,7833992.84483
18,EXPO MRT STATION,CG1,POINT (42270.62320000026 35193.62230000086),212,213,5,XILIN,TMSZ05,N,TAMPINES,TM,EAST REGION,ER,1511CC4BB4BE642B,2014-12-05,43110.6141,34607.3132,12926.0469938,7833992.84483
48,FAJAR LRT STATION,BP10,POINT (21043.43560000043 40718.88260000013),221,222,3,FAJAR,BPSZ03,N,BUKIT PANJANG,BP,WEST REGION,WR,2F183C2676E91CD1,2014-12-05,21080.9573,40748.0926,3800.60894051,668454.439261
44,FARMWAY LRT STATION,SW2,POINT (34230.51929999981 42117.57159999944),272,273,4,ANCHORVALE,SESZ04,N,SENGKANG,SE,NORTH-EAST REGION,NER,F00F5344E293F642,2014-12-05,34218.5354,41815.316,5112.46178675,1499108.62608
151,FARRER PARK MRT STATION,NE8,POINT (30321.35960000008 32739.61070000008),119,120,1,FARRER PARK,RCSZ01,Y,ROCHOR,RC,CENTRAL REGION,CR,710C13F4E3EDBBE6,2014-12-05,30093.4152,32386.2107,2540.96036282,247887.633021
121,FARRER ROAD MRT STATION,CC20,POINT (25136.22630000021 33309.16169999912),87,88,8,FARRER COURT,BTSZ08,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,709639180E81EC72,2014-12-05,24862.8217,33234.7951,4192.28952799,558760.531596
73,FERNVALE LRT STATION,SW5,POINT (32784.22640000004 41533.22890000045),261,262,6,FERNVALE,SESZ06,N,SENGKANG,SE,NORTH-EAST REGION,NER,C2885440D673A7A2,2014-12-05,32806.2915,41896.3685,6491.76794385,2391082.76469
120,FORT CANNING MRT STATION,DT20,POINT (29225.28340000007 30541.27480000071),7,8,2,CLARKE QUAY,SRSZ02,Y,SINGAPORE RIVER,SR,CENTRAL REGION,CR,48661DC0FBA09F7A,2014-12-05,29253.2073,30222.8645,2208.61929874,290184.652686
98,GEYLANG BAHRU MRT STATION,DT24,POINT (32293.7993999999 33750.95179999992),104,105,2,GEYLANG BAHRU,KLSZ02,N,KALLANG,KL,CENTRAL REGION,CR,F1279A5E67F0E58D,2014-12-05,32110.0626,33765.6746,3745.03401723,735502.226424
23,GUL CIRCLE MRT STATION,EW30,POINT (8772.855200000107 33530.3674999997),93,94,2,GUL CIRCLE,PNSZ02,N,PIONEER,PN,WEST REGION,WR,029BD940F4455194,2014-12-05,9693.9712,33074.429,7268.45075202,3260399.45892
101,HARBOURFRONT MRT STATION,NE1 / CC29,POINT (26678.34449999966 27555.05949999951),23,24,1,MARITIME SQUARE,BMSZ01,N,BUKIT MERAH,BM,CENTRAL REGION,CR,C1AC31ABF9978DDB,2014-12-05,25805.7867,27911.4193,13737.116181,2701634.33975
161,HAW PAR VILLA MRT STATION,CC25,POINT (22267.56749999989 29442.57300000079),8,9,13,PASIR PANJANG 1,QTSZ13,N,QUEENSTOWN,QT,CENTRAL REGION,CR,1F721290C421BFAB,2014-12-05,22077.3383,29893.7812,6571.32308202,1084792.32059
136,HILLVIEW MRT STATION,DT3,POINT (20666.06759999972 38266.78989999928),187,188,7,NATURE RESERVE,BPSZ07,N,BUKIT PANJANG,BP,WEST REGION,WR,5E964070D9B0D244,2014-12-05,21822.6273,37285.2615,9051.90911918,4141322.4309
187,HOLLAND VILLAGE MRT STATION,CC21,POINT (23868.14419999998 32681.57440000027),168,169,7,LEEDON PARK,BTSZ07,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,BE682D8040DECFEA,2014-12-05,23947.764,33247.6811,7565.17005339,2049551.24988
177,HOUGANG MRT STATION,NE14,POINT (34572.87590000033 39256.13110000081),242,243,1,HOUGANG CENTRAL,HGSZ01,N,HOUGANG,HG,NORTH-EAST REGION,NER,C4419A9A8D05E0DF,2014-12-05,34470.7005,39076.5963,2759.81546608,441733.440164
114,JALAN BESAR MRT STATION,DT22,POINT (30466.03010000009 31970.43129999936),65,66,3,SUNGEI ROAD,RCSZ03,Y,ROCHOR,RC,CENTRAL REGION,CR,31DE89B5FC57F46A,2014-12-05,30601.3445,32003.1028,1727.96350256,116329.996565
62,JELAPANG LRT STATION,BP12,POINT (20341.74909999967 40960.20199999958),223,224,2,SAUJANA,BPSZ02,N,BUKIT PANJANG,BP,WEST REGION,WR,BAD02A93A41830EC,2014-12-05,20536.7145,40906.6531,3686.69056677,674992.000939
38,JOO KOON MRT STATION,EW29,POINT (10756.35429999977 34438.27639999986),111,112,1,JOO KOON,PNSZ01,N,PIONEER,PN,WEST REGION,WR,B1041F5E831D2636,2014-12-05,10883.9466,34203.6959,8601.20281636,2349378.26566
20,JURONG EAST MRT STATION,EW24 / NS1,POINT (17869.08059999999 35038.94720000029),134,135,5,JURONG GATEWAY,JESZ05,N,JURONG EAST,JE,WEST REGION,WR,857DAA77ED3346BF,2014-12-05,17912.9778,35033.9061,3096.9841099,554623.675717
54,KADALOOR LRT STATION,PE5,POINT (37255.48840000015 42384.66190000065),266,267,5,WATERWAY EAST,PGSZ05,N,PUNGGOL,PG,NORTH-EAST REGION,NER,A9E7E4A7DEE0B6F2,2014-12-05,37063.2238,42568.2237,5391.06510657,1489246.88272
141,KAKI BUKIT MRT STATION,DT28,POINT (36362.42239999957 35239.54580000043),148,149,1,KAKI BUKIT,BDSZ01,N,BEDOK,BD,EAST REGION,ER,0E5F89C6D8042867,2014-12-05,36485.3951,35307.0408,8153.88813505,2820171.67856
26,KALLANG MRT STATION,EW10,POINT (32236.60379999969 32643.33019999973),131,132,3,BOON KENG,KLSZ03,N,KALLANG,KL,CENTRAL REGION,CR,0D1D1759D7BC6D6C,2014-12-05,32338.3212,33018.7607,2972.11104541,410994.544702
68,KANGKAR LRT STATION,SE4,POINT (35662.73000000045 40658.9821000006),259,260,2,RIVERVALE,SESZ02,N,SENGKANG,SE,NORTH-EAST REGION,NER,986666487FF7CF78,2014-12-05,35977.6113,41060.8024,6315.95441659,1569034.7842
57,KEAT HONG LRT STATION,BP3,POINT (18622.57270000037 40064.57110000029),218,219,1,TECK WHYE,CKSZ01,N,CHOA CHU KANG,CK,WEST REGION,WR,B0AC5DFFC3C9CC3B,2014-12-05,19269.9942,40394.105,4531.98145589,1001591.78599
31,KEMBANGAN MRT STATION,EW6,POINT (36862.12370000035 33699.35679999925),116,117,3,KEMBANGAN,BDSZ03,N,BEDOK,BD,EAST REGION,ER,528DB1419283465B,2014-12-05,37158.7015,34115.9683,6785.11170732,2387277.5316
104,KENT RIDGE MRT STATION,CC24,POINT (22581.5421000002 30650.09720000066),50,51,11,NATIONAL UNIVERSITY OF S'PORE,QTSZ11,N,QUEENSTOWN,QT,CENTRAL REGION,CR,247B3009E9665A6E,2014-12-05,21688.9243,30930.1213,5625.41689089,1755950.43882
3,KHATIB MRT STATION,NS14,POINT (27962.31080000009 44352.56799999997),316,317,8,KHATIB,YSSZ08,N,YISHUN,YS,NORTH REGION,NR,DC75517DA31123DB,2014-12-05,27480.6357,44420.6884,4956.14573523,1432913.06237
137,KING ALBERT PARK MRT STATION,DT6,POINT (22489.84509999957 35316.63489999995),135,136,3,HOLLAND ROAD,BTSZ03,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,12A4B25B07B14D08,2014-12-05,22485.0193,34364.2896,8185.19732328,3392897.36359
119,KOVAN MRT STATION,NE13,POINT (33758.75779999979 38027.27950000018),238,239,6,KOVAN,HGSZ06,N,HOUGANG,HG,NORTH-EAST REGION,NER,19C0ECAF2E3AE59A,2014-12-05,33270.7913,38331.4768,5644.28774956,1948613.20544
4,KRANJI MRT STATION,NS7,POINT (20081.69739999995 45214.54790000059),280,281,2,TURF CLUB,SKSZ02,N,SUNGEI KADUT,SK,NORTH REGION,NR,17459E60C3EEAF30,2014-12-05,20234.6006,44507.1901,7665.67601943,3291405.50569
45,KUPANG LRT STATION,SW3,POINT (33334.81639999989 42232.84080000035),261,262,6,FERNVALE,SESZ06,N,SENGKANG,SE,NORTH-EAST REGION,NER,C2885440D673A7A2,2014-12-05,32806.2915,41896.3685,6491.76794385,2391082.76469
