OBJECTID_left,STN_NAME,STN_NO,geometry,index_right,OBJECTID_right,SUBZONE_NO,SUBZONE_N,SUBZONE_C,CA_IND,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR,SHAPE_Leng,SHAPE_Area
42,OASIS LRT STATION,PE6,POINT (36837.11780000012 42683.40179999918),266,267,5,WATERWAY EAST,PGSZ05,N,PUNGGOL,PG,NORTH-EAST REGION,NER,A9E7E4A7DEE0B6F2,2014-12-05,37063.2238,42568.2237,5391.06510657,1489246.88272
108,ONE-NORTH MRT STATION,CC23,POINT (22896.07309999969 31346.40850000083),66,67,8,ONE NORTH,QTSZ08,N,QUEENSTOWN,QT,CENTRAL REGION,CR,D437A9A68F04D2D4,2014-12-05,23299.2437,31176.1605,6591.90791444,2051652.62174
113,ORCHARD MRT STATION,NS22,POINT (27880.12559999991 31813.11339999922),82,83,2,BOULEVARD,ORSZ02,Y,ORCHARD,OR,CENTRAL REGION,CR,B26DFAF98B8F3E52,2014-12-05,27916.9271,31967.0064,4109.23134961,460550.429848
188,OUTRAM PARK MRT STATION,EW16,POINT (28646.37390000001 29316.77270000055),33,34,2,PEOPLE'S PARK,OTSZ02,Y,OUTRAM,OT,CENTRAL REGION,CR,B4120D23006C932A,2014-12-05,28831.7807,29419.6457,1822.1927178,93140.4376422
156,OUTRAM PARK MRT STATION,NE3,POINT (28696.26020000037 29135.38199999928),31,32,5,SINGAPORE GENERAL HOSPITAL,BMSZ05,N,BUKIT MERAH,BM,CENTRAL REGION,CR,91630902E00FD7B9,2014-12-05,28147.221,29131.0368,2915.28204786,533017.390733
155,PASIR PANJANG MRT STATION,CC26,POINT (23329.26470000017 28742.76579999924),55,56,15,PORT,QTSZ15,N,QUEENSTOWN,QT,CENTRAL REGION,CR,543ED13CCC907021,2014-12-05,21576.0765,28788.2172,23438.818536,7601893.99532
14,PASIR RIS MRT STATION,EW1,POINT (40903.77159999963 39443.39829999954),253,254,3,PASIR RIS CENTRAL,PRSZ03,N,PASIR RIS,PR,EAST REGION,ER,FF244AAC9D31CDAF,2014-12-05,40755.9017,39341.7477,5273.2390021,1511487.38408
152,PAYA LEBAR MRT STATION,CC9,POINT (34550.5756000001 33300.34019999951),169,170,5,GEYLANG EAST,GLSZ05,N,GEYLANG,GL,CENTRAL REGION,CR,58687154BD252A0A,2014-12-05,35237.1681,33246.0587,7028.34007067,2579087.16991
9,PAYA LEBAR MRT STATION,EW8,POINT (34648.67729999963 33375.73409999907),169,170,5,GEYLANG EAST,GLSZ05,N,GEYLANG,GL,CENTRAL REGION,CR,58687154BD252A0A,2014-12-05,35237.1681,33246.0587,7028.34007067,2579087.16991
76,PENDING LRT STATION,BP8,POINT (21094.78120000008 39792.4935999997),209,210,4,BANGKIT,BPSZ04,N,BUKIT PANJANG,BP,WEST REGION,WR,434BCF269E20F681,2014-12-05,21431.2286,39899.5272,4350.13572206,763183.429445
63,PETIR LRT STATION,BP7,POINT (20582.72730000038 39970.25129999965),205,206,5,JELEBU,BPSZ05,N,BUKIT PANJANG,BP,WEST REGION,WR,61A034F12715D43D,2014-12-05,20535.3901,39769.4445,3992.42603071,911208.285046
90,PHOENIX LRT STATION,BP5,POINT (19621.77720000036 40066.31550000049),218,219,1,TECK WHYE,CKSZ01,N,CHOA CHU KANG,CK,WEST REGION,WR,B0AC5DFFC3C9CC3B,2014-12-05,19269.9942,40394.105,4531.98145589,1001591.78599
7,PIONEER MRT STATION,EW28,POINT (12864.95920000039 35529.49730000086),151,152,9,JURONG WEST CENTRAL,JWSZ09,N,JURONG WEST,JW,WEST REGION,WR,1D90F8ED7A36C82C,2014-12-05,13396.6261,35811.7261,4649.79715009,1404536.64286
176,POTONG PASIR MRT STATION,NE10,POINT (31977.16770000011 34842.72890000045),138,139,9,POTONG PASIR,TPSZ09,N,TOA PAYOH,TP,CENTRAL REGION,CR,C54D6A4E4D1A775C,2014-12-05,31596.799,35028.1043,3496.88166396,639143.559357
184,PROMENADE MRT STATION,CC4,POINT (31080.60819999967 30623.01740000024),44,45,3,MARINA CENTRE,DTSZ03,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,2AB099523A1AEAD5,2014-12-05,30938.0985,30471.8267,4047.11116872,886954.8092
102,PROMENADE MRT STATION,DT15,POINT (31064.34140000027 30586.91459999979),44,45,3,MARINA CENTRE,DTSZ03,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,2AB099523A1AEAD5,2014-12-05,30938.0985,30471.8267,4047.11116872,886954.8092
50,PUNGGOL LRT STATION,PTC,POINT (35689.13900000043 43004.92019999959),309,310,2,PUNGGOL TOWN CENTRE,PGSZ02,N,PUNGGOL,PG,NORTH-EAST REGION,NER,625C5BEC57D068FE,2014-12-05,35602.3777,43427.511,4896.76750758,1264384.78903
106,PUNGGOL MRT STATION,NE17,POINT (35651.38460000046 42933.26940000057),265,266,3,MATILDA,PGSZ03,N,PUNGGOL,PG,NORTH-EAST REGION,NER,14D0DB33976B7B81,2014-12-05,35089.9853,42728.2745,5361.91596413,1418284.25473
71,PUNGGOL POINT LRT STATION,PW3,POINT (36160.82760000043 44293.5560999997),276,277,1,NORTHSHORE,PGSZ01,N,PUNGGOL,PG,NORTH-EAST REGION,NER,317584A40150FF3F,2014-12-05,36169.5574,44222.7655,5355.63711782,1360000.63135
21,QUEENSTOWN MRT STATION,EW19,POINT (24946.80829999968 30804.67850000039),48,49,6,MEI CHIN,QTSZ06,N,QUEENSTOWN,QT,CENTRAL REGION,CR,F15BD95C8778DC31,2014-12-05,24651.0693,30651.134,3580.44285697,748683.995863
186,RAFFLES PLACE MRT STATION,EW14 / NS26,POINT (30019.18049999978 29617.61260000058),37,38,5,RAFFLES PLACE,DTSZ05,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,72107B11807074F4,2014-12-05,29968.6175,29572.7618,1872.7521612,188767.489706
89,RANGGUNG LRT STATION,SE5,POINT (35108.59420000017 40687.12549999915),225,226,5,COMPASSVALE,SESZ05,N,SENGKANG,SE,NORTH-EAST REGION,NER,380E7DCFD2E09905,2014-12-05,34304.2505,40761.0908,5216.01738046,1093213.49087
5,REDHILL MRT STATION,EW18,POINT (26163.47800000012 30218.81959999911),4,5,3,REDHILL,BMSZ03,N,BUKIT MERAH,BM,CENTRAL REGION,CR,85D9ABEF0A40678F,2014-12-05,26201.958,30005.7035,2825.59409872,387429.439964
46,RENJONG LRT STATION,SW8,POINT (34367.94369999971 40962.47819999978),272,273,4,ANCHORVALE,SESZ04,N,SENGKANG,SE,NORTH-EAST REGION,NER,F00F5344E293F642,2014-12-05,34218.5354,41815.316,5112.46178675,1499108.62608
60,RIVIERA LRT STATION,PE4,POINT (37219.82930000033 41825.11140000075),262,263,4,PUNGGOL FIELD,PGSZ04,N,PUNGGOL,PG,NORTH-EAST REGION,NER,7462F6141FA74A37,2014-12-05,36673.8994,41847.0902,5229.11611385,1378710.5357
167,ROCHOR MRT STATION,DT13,POINT (30126.00059999991 31805.98619999923),53,54,9,BENCOOLEN,RCSZ09,Y,ROCHOR,RC,CENTRAL REGION,CR,CF8BBFA03E1B0246,2014-12-05,29999.0626,31594.594,1916.09754822,170664.304517
82,RUMBIA LRT STATION,SE2,POINT (36085.55260000005 41487.1568),259,260,2,RIVERVALE,SESZ02,N,SENGKANG,SE,NORTH-EAST REGION,NER,986666487FF7CF78,2014-12-05,35977.6113,41060.8024,6315.95441659,1569034.7842
43,SAM KEE LRT STATION,PW1,POINT (35958.39670000039 43493.44700000063),309,310,2,PUNGGOL TOWN CENTRE,PGSZ02,N,PUNGGOL,PG,NORTH-EAST REGION,NER,625C5BEC57D068FE,2014-12-05,35602.3777,43427.511,4896.76750758,1264384.78903
51,SAMUDERA LRT STATION,PW4,POINT (35660.65969999973 44188.84820000082),276,277,1,NORTHSHORE,PGSZ01,N,PUNGGOL,PG,NORTH-EAST REGION,NER,317584A40150FF3F,2014-12-05,36169.5574,44222.7655,5355.63711782,1360000.63135
91,SEGAR LRT STATION,BP11,POINT (20908.76699999999 41078.40249999985),223,224,2,SAUJANA,BPSZ02,N,BUKIT PANJANG,BP,WEST REGION,WR,BAD02A93A41830EC,2014-12-05,20536.7145,40906.6531,3686.69056677,674992.000939
30,SEMBAWANG MRT STATION,NS11,POINT (26522.98830000032 47854.19979999959),290,291,3,SEMBAWANG CENTRAL,SBSZ03,N,SEMBAWANG,SB,NORTH REGION,NR,772A64AB9A93FC3A,2014-12-05,26268.7326,47558.0804,3955.11763685,962437.403135
92,SENGKANG LRT STATION,STC,POINT (34913.58789999969 41502.69969999976),271,272,3,SENGKANG TOWN CENTRE,SESZ03,N,SENGKANG,SE,NORTH-EAST REGION,NER,5A2D0E9E6B285069,2014-12-05,35163.812,41501.1418,5216.40050197,1455507.85939
116,SENGKANG MRT STATION,NE16,POINT (34918.27400000021 41512.12769999914),271,272,3,SENGKANG TOWN CENTRE,SESZ03,N,SENGKANG,SE,NORTH-EAST REGION,NER,5A2D0E9E6B285069,2014-12-05,35163.812,41501.1418,5216.40050197,1455507.85939
61,SENJA LRT STATION,BP13,POINT (20104.01389999967 40516.72259999998),222,223,1,SENJA,BPSZ01,N,BUKIT PANJANG,BP,WEST REGION,WR,E8D08EFDCD0D5E22,2014-12-05,19897.9466,40895.3637,3836.25422873,624877.500116
148,SERANGOON MRT STATION,NE12,POINT (32480.07259999961 36869.39240000024),179,180,6,SERANGOON CENTRAL,SGSZ06,N,SERANGOON,SG,NORTH-EAST REGION,NER,3E0A343DED145DD2,2014-12-05,32157.3746,37148.607,4784.62316929,1061889.35276
145,SERANGOON MRT STATION,CC13,POINT (32345.77240000013 36967.51229999959),179,180,6,SERANGOON CENTRAL,SGSZ06,N,SERANGOON,SG,NORTH-EAST REGION,NER,3E0A343DED145DD2,2014-12-05,32157.3746,37148.607,4784.62316929,1061889.35276
