YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2021-01,WEEKDAY,11,TRAIN,NS7,2266,1691
2021-01,WEEKENDS/HOLIDAY,11,TRAIN,NS7,1656,1484
2021-01,WEEKDAY,16,TRAIN,SW4,1012,1586
2021-01,WEEKENDS/HOLIDAY,16,TRAIN,SW4,581,614
2021-01,WEEKENDS/HOLIDAY,10,TRAIN,CC5,767,1551
2021-01,WEEKDAY,10,TRAIN,CC5,1238,3460
2021-01,WEEKDAY,13,TRAIN,CC23,8334,8250
2021-01,WEEKENDS/HOLIDAY,13,TRAIN,CC23,1530,1568
2021-01,WEEKENDS/HOLIDAY,22,TRAIN,EW33,483,650
2021-01,WEEKDAY,22,TRAIN,EW33,794,825
2021-01,WEEKENDS/HOLIDAY,14,TRAIN,CC21,3995,3993
2021-01,WEEKDAY,14,TRAIN,CC21,6221,6772
2021-01,WEEKENDS/HOLIDAY,18,TRAIN,EW24/NS1,48230,43828
2021-01,WEEKDAY,18,TRAIN,EW24/NS1,162598,118051
2021-01,WEEKENDS/HOLIDAY,7,TRAIN,NE10,3443,2807
2021-01,WEEKDAY,7,TRAIN,NE10,17311,25148
2021-01,WEEKDAY,8,TRAIN,EW22,8358,56368
2021-01,WEEKENDS/HOLIDAY,8,TRAIN,EW22,1765,2058
2021-01,WEEKENDS/HOLIDAY,14,TRAIN,CC16,3184,2935
2021-01,WEEKDAY,14,TRAIN,CC16,7647,6083
2021-01,WEEKENDS/HOLIDAY,10,TRAIN,EW11,5344,6800
2021-01,WEEKDAY,10,TRAIN,EW11,10319,13327
2021-01,WEEKDAY,6,TRAIN,NS24/NE6/CC1,2811,7973
2021-01,WEEKENDS/HOLIDAY,6,TRAIN,NS24/NE6/CC1,1124,2092
2021-01,WEEKENDS/HOLIDAY,0,TRAIN,EW19,25,153
2021-01,WEEKDAY,0,TRAIN,EW19,50,235
2021-01,WEEKDAY,10,TRAIN,CC22/EW21,8009,14052
2021-01,WEEKENDS/HOLIDAY,10,TRAIN,CC22/EW21,5063,5210
2021-01,WEEKDAY,8,TRAIN,CC8,10297,6819
2021-01,WEEKENDS/HOLIDAY,8,TRAIN,CC8,2312,1756
2021-01,WEEKENDS/HOLIDAY,17,TRAIN,NE7/DT12,14980,13424
2021-01,WEEKDAY,17,TRAIN,NE7/DT12,29105,19717
2021-01,WEEKDAY,17,TRAIN,EW33,8703,918
2021-01,WEEKENDS/HOLIDAY,17,TRAIN,EW33,1575,851
2021-01,WEEKENDS/HOLIDAY,22,TRAIN,NS28,424,108
2021-01,WEEKDAY,22,TRAIN,NS28,670,130
2021-01,WEEKENDS/HOLIDAY,0,TRAIN,DT10,12,44
2021-01,WEEKDAY,0,TRAIN,DT10,16,47
2021-01,WEEKDAY,10,TRAIN,EW16/NE3,15549,24959
2021-01,WEEKENDS/HOLIDAY,10,TRAIN,EW16/NE3,5708,7178
2021-01,WEEKENDS/HOLIDAY,9,TRAIN,CC14,2986,1148
2021-01,WEEKDAY,9,TRAIN,CC14,7520,3814
2021-01,WEEKENDS/HOLIDAY,14,TRAIN,EW27,21417,22716
2021-01,WEEKDAY,14,TRAIN,EW27,27798,35714
2021-01,WEEKDAY,0,TRAIN,NS27/CE2,12,58
2021-01,WEEKENDS/HOLIDAY,0,TRAIN,NS27/CE2,8,35
2021-01,WEEKDAY,18,TRAIN,DT27,23758,8737
2021-01,WEEKENDS/HOLIDAY,18,TRAIN,DT27,2872,2417
2021-01,WEEKENDS/HOLIDAY,7,TRAIN,BP10,1339,609
2021-01,WEEKDAY,7,TRAIN,BP10,10901,3191
2021-01,WEEKDAY,15,TRAIN,NE10,11465,11628
2021-01,WEEKENDS/HOLIDAY,15,TRAIN,NE10,5720,5819
2021-01,WEEKENDS/HOLIDAY,18,TRAIN,EW22,2215,2512
2021-01,WEEKDAY,18,TRAIN,EW22,28933,17331
2021-01,WEEKENDS/HOLIDAY,15,TRAIN,CC25,2316,1591
2021-01,WEEKDAY,15,TRAIN,CC25,4483,3401
2021-01,WEEKENDS/HOLIDAY,12,TRAIN,CE1/DT16,6546,14370
2021-01,WEEKDAY,12,TRAIN,CE1/DT16,8291,15556
2021-01,WEEKENDS/HOLIDAY,10,TRAIN,SW6,2113,790
2021-01,WEEKDAY,10,TRAIN,SW6,3014,1195
2021-01,WEEKDAY,17,TRAIN,DT31,8126,11179
2021-01,WEEKENDS/HOLIDAY,17,TRAIN,DT31,3013,3734
2021-01,WEEKDAY,15,TRAIN,CC14,7248,6250
2021-01,WEEKENDS/HOLIDAY,15,TRAIN,CC14,2055,2708
2021-01,WEEKENDS/HOLIDAY,0,TRAIN,NS8,339,1406
2021-01,WEEKDAY,0,TRAIN,NS8,449,2503
2021-01,WEEKDAY,18,TRAIN,NS14,34854,73231
2021-01,WEEKENDS/HOLIDAY,18,TRAIN,NS14,12305,15787
2021-01,WEEKENDS/HOLIDAY,12,TRAIN,EW17,12540,11452
2021-01,WEEKDAY,12,TRAIN,EW17,17841,17849
2021-01,WEEKENDS/HOLIDAY,17,TRAIN,DT21,2602,1653
2021-01,WEEKDAY,17,TRAIN,DT21,8914,3567
2021-01,WEEKDAY,19,TRAIN,NE12/CC13,25883,42146
2021-01,WEEKENDS/HOLIDAY,19,TRAIN,NE12/CC13,13956,14786
2021-01,WEEKDAY,6,TRAIN,EW31,712,8176
2021-01,WEEKENDS/HOLIDAY,6,TRAIN,EW31,407,1973
