BUS_STOP_N,BUS_ROOF_N,LOC_DESC,geometry,index_right,OBJECTID,SUBZONE_NO,SUBZONE_N,SUBZONE_C,CA_IND,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR,SHAPE_Leng,SHAPE_Area
14189,B14,AFT ALEXANDRA RD,POINT (24749.98120101448 28355.17909916863),28,29,13,TELOK BLANGAH DRIVE,BMSZ13,N,BUKIT MERAH,BM,CENTRAL REGION,CR,54A4BD5ABBBDC5A8,2014-12-05,25280.2612,28791.4606,5317.78168432,1454827.64584
14191,B01,BLK 105 CP,POINT (25644.72319679148 29293.09850017913),32,33,12,DEPOT ROAD,BMSZ12,N,BUKIT MERAH,BM,CENTRAL REGION,CR,102DDFE3D40A95C9,2014-12-05,25244.2071,29407.094,4281.17268085,442502.827591
14199,B02,BLK 118,POINT (25708.19799686316 29305.11979701743),32,33,12,DEPOT ROAD,BMSZ12,N,BUKIT MERAH,BM,CENTRAL REGION,CR,102DDFE3D40A95C9,2014-12-05,25244.2071,29407.094,4281.17268085,442502.827591
14201,B03,BLK 110,POINT (25319.90689841099 29343.26539866813),32,33,12,DEPOT ROAD,BMSZ12,N,BUKIT MERAH,BM,CENTRAL REGION,CR,102DDFE3D40A95C9,2014-12-05,25244.2071,29407.094,4281.17268085,442502.827591
14209,B04,AFT HEWLETT PACKARD,POINT (25353.65490302071 29353.97490230203),32,33,12,DEPOT ROAD,BMSZ12,N,BUKIT MERAH,BM,CENTRAL REGION,CR,102DDFE3D40A95C9,2014-12-05,25244.2071,29407.094,4281.17268085,442502.827591
14211,B05,ISS INTL SCH,POINT (24883.25340096373 29342.35730065778),28,29,13,TELOK BLANGAH DRIVE,BMSZ13,N,BUKIT MERAH,BM,CENTRAL REGION,CR,54A4BD5ABBBDC5A8,2014-12-05,25280.2612,28791.4606,5317.78168432,1454827.64584
14219,B06,OPP BLK 114,POINT (25076.30886623636 29404.25163064897),32,33,12,DEPOT ROAD,BMSZ12,N,BUKIT MERAH,BM,CENTRAL REGION,CR,102DDFE3D40A95C9,2014-12-05,25244.2071,29407.094,4281.17268085,442502.827591
14221,B07,OPP ST. TERESA'S CH,POINT (27513.93350050878 28444.7140975818),20,21,17,CITY TERMINALS,BMSZ17,N,BUKIT MERAH,BM,CENTRAL REGION,CR,9711879901A8487F,2014-12-05,28387.3388,27536.5671,16805.6555023,3449640.60707
14229,B06,ST. TERESA'S CH,POINT (27466.41439997405 28474.45330245234),60,61,15,TELOK BLANGAH RISE,BMSZ15,N,BUKIT MERAH,BM,CENTRAL REGION,CR,92F3596780DFCCEA,2014-12-05,27029.9638,28501.6649,3713.83818129,533671.253136
14231,B09,KEPPEL DP BLK 519,POINT (27257.41730136052 28159.61070244014),20,21,17,CITY TERMINALS,BMSZ17,N,BUKIT MERAH,BM,CENTRAL REGION,CR,9711879901A8487F,2014-12-05,28387.3388,27536.5671,16805.6555023,3449640.60707
14239,B08,OPP KEPPEL DP BLK 519,POINT (27317.17900203634 28257.53719974682),60,61,15,TELOK BLANGAH RISE,BMSZ15,N,BUKIT MERAH,BM,CENTRAL REGION,CR,92F3596780DFCCEA,2014-12-05,27029.9638,28501.6649,3713.83818129,533671.253136
14241,B08,OPP BLK 1,POINT (26172.1301974738 29082.16509832069),28,29,13,TELOK BLANGAH DRIVE,BMSZ13,N,BUKIT MERAH,BM,CENTRAL REGION,CR,54A4BD5ABBBDC5A8,2014-12-05,25280.2612,28791.4606,5317.78168432,1454827.64584
14249,B07,BLK 1,POINT (26224.60110051744 29092.89429858886),24,25,14,TELOK BLANGAH WAY,BMSZ14,N,BUKIT MERAH,BM,CENTRAL REGION,CR,0F0735F1BDDF53C7,2014-12-05,26570.5173,28871.8922,2290.22726176,276826.812461
14259,B03,BLK 11,POINT (26363.18770190701 28920.04290016741),24,25,14,TELOK BLANGAH WAY,BMSZ14,N,BUKIT MERAH,BM,CENTRAL REGION,CR,0F0735F1BDDF53C7,2014-12-05,26570.5173,28871.8922,2290.22726176,276826.812461
