"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","positive","positiveIncrease","states","totalTestResults","totalTestResultsIncrease"
"2021-02-08",455455,1309,42833,16174,1638,80055,827944,114549331,336278,4080,5260,26875063,77737,56,324996453,1424075
"2021-02-07",454146,1475,42779,16616,1543,81439,826306,114213053,393480,4079,5342,26797326,95994,56,323572378,1498467
"2021-02-06",452671,2994,42730,17093,2443,84233,824763,113819573,518729,4078,5475,26701332,114557,56,322073911,1881694
"2021-02-05",449677,3543,42626,17284,2940,86373,822320,113300844,549788,4060,5596,26586775,131146,56,320192217,1875306
"2021-02-04",446134,5212,42472,17918,3402,88668,819380,112751056,489583,4059,5732,26455629,123907,56,318316911,1674771
"2021-02-03",440922,3685,42323,18147,3975,91440,815978,112261473,475312,4044,5920,26331722,116960,56,316642140,1439658
"2021-02-02",437237,3486,42148,18388,3285,92880,812003,111786161,304757,4035,6047,26214762,117616,56,315202482,1395736
"2021-02-01",433751,1562,41998,18572,1766,93536,808718,111481404,550856,4025,6086,26097146,120200,56,313806746,1531697
"2021-01-31",432189,2059,41934,18968,2171,95013,806952,110930548,421100,4019,6291,25976946,119367,56,312275049,1718014
"2021-01-30",430130,2982,41872,19130,3147,97561,804781,110509448,529064,4016,6329,25857579,148824,56,310557035,2171543
"2021-01-29",427148,3503,41758,19609,2835,101003,801634,109980384,572421,4011,6483,25708755,167111,56,308385492,1942986
"2021-01-28",423645,4011,41588,20113,3500,104303,798799,109407963,539401,4000,6642,25541644,157306,56,306442506,1943869
"2021-01-27",419634,4077,41402,20497,4134,107444,795299,108868562,464972,3985,6806,25384338,153985,56,304498637,1641704
"2021-01-26",415557,3734,41205,20573,3705,108960,791165,108403590,532671,3976,6832,25230353,146448,56,302856933,1744394
"2021-01-25",411823,1593,41028,20875,2515,109936,787460,107870919,451944,3949,6857,25083905,133454,56,301112539,1648946
"2021-01-24",410230,1944,40931,21168,1909,110628,784945,107418975,412763,3943,6989,24950451,144234,56,299463593,1783155
"2021-01-23",408286,3591,40853,21657,6652,113609,783036,107006212,559167,3941,7110,24806217,177118,56,297680438,2002051
"2021-01-22",404695,3980,40687,22008,4325,116264,776384,106447045,588884,3919,7236,24629099,190915,56,295678387,2029923
"2021-01-21",400715,3878,40481,22309,4053,119949,772059,105858161,537277,3910,7370,24438184,186275,56,293648464,1937586
"2021-01-20",396837,4409,40340,22809,5105,122700,768006,105320884,529182,3897,7564,24251909,189203,56,291710878,1839119
"2021-01-19",392428,2141,40103,23029,3206,123820,762901,104791702,611349,3883,7688,24062706,146626,56,289871759,1732695
"2021-01-18",390287,1395,39973,23226,2839,123848,759695,104180353,348626,3865,7772,23916080,150792,56,288139064,1708352
"2021-01-17",388892,2053,39864,23432,2167,124387,756856,103831727,490957,3860,7797,23765288,187218,56,286430712,1910937
"2021-01-16",386839,3709,39797,23524,4039,126139,754689,103340770,507306,3858,7755,23578070,218085,56,284519775,2111835
"2021-01-15",383130,3679,39626,23593,4000,127235,750650,102833464,684422,3845,7772,23359985,246454,56,282407940,2328022
"2021-01-14",379451,3915,39418,23891,3792,128947,746650,102149042,600344,3829,7878,23113531,225616,56,280079918,2064004
"2021-01-13",375536,4087,39248,23857,5312,130391,742858,101548698,432071,3811,7902,22887915,224491,56,278015914,1827852
"2021-01-12",371449,4064,39049,23881,4657,131326,737546,101116627,646790,3796,7879,22663424,218020,56,276188062,1974663
"2021-01-11",367385,1733,38823,23501,3045,129793,732889,100469837,524665,3773,7786,22445404,195255,56,274213399,1765847
"2021-01-10",365652,2068,38706,23640,2413,129223,729844,99945172,464420,3771,7878,22250149,228732,56,272447552,2044183
"2021-01-09",363584,3537,38607,23718,6683,130781,727431,99480752,569537,3767,7791,22021417,269368,56,270403369,2143962
"2021-01-08",360047,3780,38432,23912,4705,131921,720748,98911215,640284,3756,7908,21752049,295121,56,268259407,2163697
"2021-01-07",356267,4079,38236,23821,5312,132370,716043,98270931,524260,3748,7900,21456928,272043,56,266095710,1936917
"2021-01-06",352188,3902,38064,23708,6607,132474,710731,97746671,466563,3739,7946,21184885,250184,56,264158793,1655624
"2021-01-05",348286,3484,37841,23509,4290,131195,704124,97280108,648800,3718,7976,20934701,219075,56,262503169,1735558
"2021-01-04",344802,1547,37586,23435,3892,128210,699834,96631308,446754,3692,7930,20715626,179571,56,260767611,1513830
"2021-01-03",343255,1455,37433,23243,2226,125562,695942,96184554,334242,3688,7939,20536055,208457,56,259253781,1451882
"2021-01-02",341800,2406,37309,23133,3051,123614,693716,95850312,479470,3684,7910,20327598,280318,56,257801899,2046711
"2021-01-01",339394,2592,37196,23255,4550,125047,690665,95370842,312567,3681,7990,20047280,182906,56,255755188,1423792
"2020-12-31",336802,3297,37066,23097,4348,125423,686115,95058275,475872,3672,8004,19864374,226246,56,254331396,1804113
"2020-12-30",333505,3900,36855,23069,5514,125220,681767,94582403,401672,3653,7930,19638128,229496,56,252527283,1593995
"2020-12-29",329605,3289,36583,22838,5261,124686,676253,94180731,336336,3635,7885,19408632,199679,56,250933288,1355595
"2020-12-28",326316,1490,36308,22579,3723,121202,670992,93844395,491612,3612,7948,19208953,164127,56,249577693,1368559
"2020-12-27",324826,1397,36164,22447,2302,118720,667269,93352783,297044,3604,7878,19044826,153540,56,248209134,1388268
"2020-12-26",323429,1426,36038,22373,2292,117344,664967,93055739,659398,3593,7809,18891286,190594,56,246820866,2160205
"2020-12-25",322003,1553,35945,22418,2047,118948,662675,92396341,310214,3592,7831,18700692,126796,56,244660661,1436706
"2020-12-24",320450,2958,35899,22623,4289,120200,660628,92086127,470415,3587,7792,18573896,206684,56,243223955,1974437
"2020-12-23",317492,3393,35695,22489,4795,119463,656339,91615712,500238,3579,7819,18367212,224526,56,241249518,1797190
"2020-12-22",314099,3137,35428,22213,4567,117777,651544,91115474,456397,3554,7830,18142686,193008,56,239452328,1782113
"2020-12-21",310962,1480,35178,21884,3111,115358,646977,90659077,729602,3539,7783,17949678,179406,56,237670215,1982166
"2020-12-20",309482,1668,35030,21763,2382,113601,643866,89929475,455908,3530,7695,17770272,197494,56,235688049,1840102
"2020-12-19",307814,2708,34949,21692,3429,113914,641484,89473567,445160,3529,7786,17572778,204873,56,233847947,1837936
"2020-12-18",305106,2866,34716,21745,5214,113955,638055,89028407,768736,3519,7786,17367905,241786,56,232010011,2209133
"2020-12-17",302240,3465,34485,21912,5167,114492,632841,88259671,497254,3504,7848,17126119,242970,56,229800878,1902707
"2020-12-16",298775,3453,34237,21943,4776,113257,627674,87762417,553616,3488,7782,16883149,234288,56,227898171,1851079
"2020-12-15",295322,2924,33958,21897,4430,112816,622898,87208801,565482,3460,7702,16648861,193218,56,226047092,1853496
"2020-12-14",292398,1357,33693,21458,3461,110573,618468,86643319,750056,3442,7699,16455643,193286,56,224193596,2021849
"2020-12-13",291041,1501,33494,21230,2314,109298,615007,85893263,513763,3432,7535,16262357,187251,56,222171747,1829862
"2020-12-12",289540,2497,33419,21198,3789,108461,612693,85379500,484998,3430,7515,16075106,226904,56,220341885,1908307
