"BUS_STOP_N,C,65","BUS_ROOF_N,C,10","LOC_DESC,C,254"
54099,B06,OPP BLK 333
76201,B05,BLK 423
85081,B01,BEF JLN PARI BURONG
52289,B02,BLK 34
67121,B03,BLK 142A
25429,B04,TUAS LK STN
54641,B08,SING IND CPLX
82221,B01,BLK 3A
57139,B20,AFT JLN KEMUNING
46119,B08,MARSILING CC
77079,B04,ELIAS MALL
24581,B05,OPP ESAB
65011,B01,OPP THE RIVERVALE
28151,B09,BEF HONG KAH CIRCLE
43268,B03A,Hillington Green Condo
64429,B08,BLK 412
03381,B01,THE SAIL
92129,NIL,THE HOLY FAMILY CH
12091,B05,SIM HQ
22409,B06,BEF SHIPYARD RD
03529,B01,DOWNTOWN STN
45111,B27,OPP KRANJI WAR MEMORIAL
64111,B17,OPP BLK 953
57051,B07,AFT SEMBAWANG AIR BASE
54247,B18,BLK 322
24621,B11,AFT OCEAN TANKER
67059,B25,SELETAR HILLS EST
64479,B01,BLK 665
76081,B04,OPP THE HOLY TRINITY CH
81101,B04,CISCO CTR
40259,B06,BEF WALLACE WAY
96321,B02,DBS ASIA HUB
62059,B16,Blk 161
20169,B22,BLK 35
85021,B01,COUNTRY PK
11379,TMNL,BUONA VISTA TER
67119,B06,BLK 128
68031,B07,JLN KAYU SHOPHSE
59309,B23,JIEMIN PR SCH
78161,B02,BLK 216
97111,B41,BEF TOH CL
75289,B14,OPP BLKS 741/742
53269,B01,BISHAN STADIUM
67181,B06,BLK 240
18141,B06,AFT ANGLO-CHINESE JC
65021,B03,OPP BLK 110
27109,B13,WESTWOOD SEC SCH
46531,B04,BLK 173
76051,B03,OUR TAMPINES HUB
19091,B02,S'PORE POLY
67139,B05,NTH SPRING PRI SCH
81069,NIL,OPP LOR 39 GEYLANG
03011,B01,FULLERTON SQ
40251,B05,AFT WALLACE WAY
93129,B02,BEF SEKOLAH INDONESIA
52201,B05,BLK 121
67741,B04,THANGGAM STN
43219,B03,OPP SBST BT BATOK DEPOT
84031,B05,BEDOK STN EXIT B
42241,B01,AFT ENG KONG PL
84111,B06,TEMASEK JC
66051,B04,OPP BLK 257
78119,B10,OPP BLK 479
44221,B02,OPP PENDING STN
68239,B01,SELETAR AIRPOT
46339,B03,BEF W'LANDS STN EXIT 7
48101,B04,AFT MENG SUAN RD
06141,B05,HOLIDAY INN ATRIUM
84561,B06,BLK 53
84551,B04,BLK 51
95019,B04,AFT CHANGI AIRPORT PTB2
53331,B04,BEF BRIGHT HILL TP
17439,UNK,LP 36
54091,B05,BLK 331
17311,B17,EMERSON PROCESS
06151,B03,HOTEL MIRAMAR
25259,B48,BEF TUAS WEST DR
54291,B09,BLK 564
99089,B07,BEF CRANWELL RD
95209,UNK,CHANGI AIRPORT PTB4
90079,B01,OPP COSTA RHU CONDO
52261,B03,OPP BLK 73
29081,B08,FRANKLIN OFFSHORE
64409,B38,BLK 477A
21259,B02,OPP SIME DARBY
13019,B04,S'PORE BOTANIC GDNS
05059,B03,HONG LIM PK
17021,B03,WASEDA S SNR HIGH SCH
43271,B02,GLENDALE PK CONDO
93079,B16,OPP SPRINGVALE
21279,B06A,ASSYAKIRIN MQUE
67191,B04,BLK 223D
55139,B08,BLK 641
66401,B04,GOLDEN HITS
11521,B14,ANCHORPOINT
59171,B02,BLK 309
46379,B04,BLK 409
16209,B16,HORIZON RESIDENCES
10131,B17,OPP BLK 2
76399,B01,BLK 417
01521,B07,OPP PLAZA PARKROYAL
77261,B02,BLK 717
07329,B08,HOA NAM BLDG
17371,B03,BLK 201
20161,B22,OPP BLKS 34/35
65329,NIL,KADALOOR STN EXIT A
84679,NIL,OPP BLK 156
97121,B01,BEF OLD TAMPINES RD
58459,NIL,BEF HEAVY VEH PK
55249,B02,BEF YIO CHU KANG RD
67129,B04,BLK 137
03391,B03,MARINA BAY FINANCIAL CTR
84361,B04,BLK 547
91141,NIL,THE SOVEREIGN
01231,NIL,OPP TEXTILE CTR
55279,B08,LENTOR FLYOVER
68011,B07,BEF JLN KAYU
92151,B09,CHRIST METH CH
11079,B12,OPP BLK 95
91161,NIL,THE SEAFRONT
50069,B04,HOTEL ROYAL
63309,B03,OPP PAYA LEBAR GIRLS' SCH
75349,B24,THE CLEARWATER CONDO
11161,B05,C'WEALTH STN EXIT A / D
27479,B01,OPP CORPORATION PR SCH
98059,B10,AFT LOYANG WAY
59049,B04,Opp Khatib Stn
94011,B07,EVERGREEN GDN
14059,B09,BEF TELOK BLANGAH HTS
18081,B07,BLK 55
80259,B02,AFT CHEN LI PRESBY CH
40239,B07,AFT TANGLIN CC
60229,B02,BLK 68
82141,NIL,AFT KOON SENG RD
14159,B08,BEF CHR COMMUNITY CHAPEL
64041,B31,THE MIDTOWN
10239,B06,BLK 79
27211,NIL,LEE WEE NAM LIB
53359,B07,OPP AI TONG SCH
22061,B05,CEVA LOGISTICS
80091,B07,BEF LOR 23 GEYLANG
24541,B04,OPP KEPPEL SHIPYARD
10441,B01,OPP BLK 44
99049,B22,CHANGI GOLF COURSE
48109,B03,OPP MENG SUAN RD
27369,B03,BLK 834
27171,B02,BEF LOR DANAU
10319,B02,QUEENSTOWN SEC SCH
54479,B15,BLK 538
22019,B13,OPP JURONG BIRD PK
46391,B06,BLK 853
17129,B09,AFT NUS HIGH SCH
70141,B11,CITIMAC IND CPLX
27459,B01,BLK 273B
25479,B01,S'PORE EPSON IND
54529,B04,OPP BLK 5043
17229,B01,BLK 335
15091,B10,OPP NATL LEADERSHIP INST
13121,B01,OPP GREAT WORLD CITY
54419,B01,OPP BLK 527
40231,B06,RAFFLES TOWN CLUB
45149,B02,BEF W'LANDS RD
20329,B06,S'PORE FOOD IND
77089,B04A,BEF PASIR RIS DR 3
44421,B05,BLK 25
59079,B09,YISHUN STN
31079,B36,OPP CHINESE CEMY PATH 11
57049,B06,OPP NEE SOON HQ 22 SIB
71079,B05,COMFORT DRIVING CTR
27169,B01,BEF JLN BAHAR
02149,NIL,SUNTEC TWR THREE
97189,B08,SATS MAINTENANCE CTR 2
59221,B03,OPP YISHUN IND PK A
01229,B13,BEF SULTAN MQUE
85109,B02,BEF BEDOK RD
12041,B03,AFT PANDAN VALLEY
93199,NIL,OPP MANDARIN GDNS
94089,B14,CALVARY ABLY OF GOD CH
41069,B20,OPP TAN KAH KEE STN
77209,B16,OPP PASIR RIS ELIAS CC
66571,NIL,OPP BLK 998B
50331,B01,BLK 122
10311,B01,OPP QUEENSTOWN SEC SCH
40219,B06,BEF MET YMCA
13211,NIL,AFT UNITY ST
22289,B03,BEF FAN YOONG RD
25171,B05,BECTON DICKINSON MED
31149,B35,OPP CCK CEMY OFFICE
31141,B36,CCK CEMY OFFICE
78219,B01,OPP BLK 204
63229,B02,KOVAN SPORTS CTR
14089,B06,OPP TG PAGAR DP BLK F5
46551,B02,BLK 101
13139,B05,THE TRILLIUM
04143,B02,STAMFORD CT
42031,B39,THE TESSARINA
46169,B05,SI LING SEC SCH
17249,B02,BLK355
13029,B02,BEF TYERSALL AVE
99081,B08,AFT CRANWELL RD
21511,B03,OPP AMOY CANNING
26441,NIL,BEF TUAS STH AVE 7
17141,B14,CLEMENTI STADIUM
75031,B01,OPP SPRINGFIELD SEC SCH
84311,B06,BLK 521
75021,B01,BLK 879B
22411,B02,BLK 676B
44111,B09,OPP BLK 203
83201,B10,BEF FRANKEL TERR
59201,B05,OPP CHONGFU PR SCH
18221,B01,NUH
10211,B01,PORSCHE CTR S'PORE
18239,B02,OPP NUH
06029,B06,OUTRAM PK STN
44509,B06,BLK 442
10421,B06,BLK 63B
10431,B04,ENABLING VILLAGE
75151,B03,OPP BLK 871A
10429,B05,BLK 54
58349,B09,BLK 478
44151,B02,OPP BT BATOK FIRE STN
98029,B04,OPP BLK 275
17009,INT,CLEMENTI INT
14031,B08,ST. THERESA'S CONVENT
10451,B01,OPP BLK 71
31161,B32,OPP TEEN CHALLENGE
10459,B02,BLK 72
59459,B03,OPP HUAMIN PR SCH
28051,B07,OPP NG TENG FONG GEN HOSP
70151,B01,AFT JLN ANGGEREK
23439,B12,OPP SML SHIPYARD LTD
44359,NIL,BEF CHESTNUT AVE
65019,B02,THE RIVERVALE
44481,B03,BLK 223
10071,B05,BLK 111
47041,B22,OPP W'LANDS AUTO HUB
55259,B06,OPP COUNTRYSIDE EST
05029,B01,BOAT QUAY
17091,B17,AFT CLEMENTI AVE 1
47821,B14,OPP SUMITOMO BAKELITE S'PORE
53081,B13,OPP FABER GDN
30019,B23,OPP TENGAH AIR BASE
28409,B08,BLK 454
64461,B06,BLK 579
07509,B03,SMU
17409,NIL,HSE NO 90
83299,B05,AFT LOR G TELOK KURAU
62111,B09A,AFT SOMMERVILLE RD
40081,B17,STEVENS STN
73041,B13,ST AERO
11081,B13,VIZ HOLLAND
22449,B02,BLK 685B
41019,B14,AFT KHEAM HOCK RD
40171,B03,OPP ENV BLDG
14009,INT,HARBOURFRONT INT
51079,B24,OPP MACRITCHIE RESVR
43231,B10,OPP THE PETALS CONDO
83109,B02,OPP EUNOS STN
22099,B01,BEF JLN SAMULUN
46811,B01,BLK 726
75209,B02,BLK 882A
14239,B08,OPP KEPPEL DP BLK 519
17131,B12,CLEMENTI FLYOVER
21449,B04,BOON LAY SHOP CTR
57071,B11,OPP KHATIB CAMP
81131,B10,OPP GRANDLINK SQ
33049,B14,AFT LIM CHU KANG LANE 3
40059,B04,CHANCERY CT
55089,B37,AFT SUNRISE GDNS
93189,B18,OPP VICTORIA JC
66011,B09,AFT BRADDELL RD
11211,B05,AFT PEIRCE RD
75339,B03,BLK 734
49151,B04,DAIYA ENGRG
06189,B02,CTRL SQ
60079,B01,MOM SVCS CTR
21381,B01,ST JOSEPH'S HOME
65809,NIL,ANCHOR GREEN PR SCH
61089,B01,BET BLKS 138/144
59649,NIL,OPP BLK 333C
82091,B08,AFT QUEEN OF PEACE CH
78059,B04,BLK 210
49049,B08,SIM HUP CO
11141,B09,QUEENSTOWN STN EXIT A / D
43769,B15,DULWICH COLL/ BLK 445
75379,B08,BEF TAMPINES AVE 5
28629,B08,BLK 266
54609,B02,OPP TOWNSVILLE PRI SCH
23219,B02,TRU-MARINE
59351,B04,OPP BLK 322
53009,NIL,BISHAN INT
63339,B03,OPP BLK 615
21529,B02,OPP GRANDLUXE
16159,B20,NUS FAC OF ENGRG
51051,B19,AFT ANDREW RD
18011,B18,AFT HORTPARK
13101,B06,OPP MOHD SULTAN RD
82151,B03,BEF JOO CHIAT PL
47071,B16,BEF BRITISH AMERICAN TOBACCO
01629,B04,SHAW TWRS
11519,B15,OPP QUEENSWAY SHOP CTR
66409,B03,OPP GOLDEN HTS
65129,B26,AFT TRACK 22
70171,B07,BLK 77
26451,NIL,BEF TUAS STH AVE 5
66061,B06,AFT LYNWOOD GR
10161,B07,OPP TIONG BAHRU STN
31029,B07,OPP JLN BAHAR POWER STN
46401,B09,BLK 864
98121,B05,KRISLITE BLDG
61079,B06,BLK 121
64139,B12,BEF KPE
83199,B07,AFT FRANKEL DR
25501,B01,KEE WEE HUP KEE
02141,NIL,SUNTEC TWR TWO
63241,B17,BLK 21
75341,B23,OPP THE CLEARWATER CONDO
10359,B01,AFT TIONG BAHRU RD
96171,B01,BET BLKS 227/228
53399,B02,BLK 202
65801,NIL,BLK 309D
83231,B05,BEF SIGLAP DR
81129,B01,PAYA LEBAR STN EXIT D
14209,B04,AFT HEWLETT PACKARD
52319,B02,BLK 25
58399,B02,Opp Blk 303
09213,B05,THONG TECK BLDG
10329,B09,CRESCENT GIRLS' SCH
99091,B06,BEF TURNHOUSE RD
54181,B01,BLK 258
77219,B18,OPP BLK 626
67189,B05,OPP BLK 241
10411,B01,OPP BLK 53
55229,B01,SMRT BUSES AMK DEPOT
14019,B11,OPP MT FABER LODGE
45239,B10,BET BLKS 306/307
51089,B01,BEF MARYMOUNT CON SCH
78131,B05,PASIR RIS PR SCH
05421,B04,AFT CRAIG RD
97129,B02,BEF LOYANG AVE
54631,B10,BEF ANG MO KIO IND PK 2A
84591,B08,SBST BEDOK NTH DEPOT
05419,B03,THE AMARA
53361,B10,BLK 454
28311,B05,BLK 209
17219,B01,BLK 376
32119,NIL,AFT LP 96
56269,B18,BEF ANG MO KIO AVE 2
24229,B10,AFT GUL ST 3
81221,B01,OPP BLK 1015
12081,B07,MAJU CAMP
10181,B11,BEF AR-RABITAH MQUE
98161,B13,COMPOSITE TECH
22481,nil,BLK 691A CP
82109,B16,CITY PLAZA
96269,B02,BLK 146
25471,B02,OPP S'PORE EPSON IND
50051,B09,THOMSON MED CTR
54241,B17,BLK 700B
28511,B03,BLK 463
91131,NIL,PEACH GDN
93159,B24,CABLE SKI PK
66459,B05,AFT SEAGATE
10281,B07,SIS BLDG
96149,B03,SIMEI STN
70089,B04,HDB CP
17071,B11,BLK 513
70051,B04,AFT JOO SENG RD
14051,B10,AFT TELOK BLANGAH HTS
61049,B10,AFT BARTLEY RD
76431,B07,BLK 333
84139,B01,PANASONIC
59409,B07,EVANGEL FAMILY CH
76451,B03A,BLK 324
85059,B10,BEF JLN CHEMPAKA KUNING
28149,B08,OPP JURONG LODGE 1B
71291,B03,THE LEO
62239,B07,OPP S'PORE GIRLS' HOME
20201,B01,TEBAN GDN PO
81229,B02,BLK 1015
71299,B04,EMPIRE TECHNOCENTRE
21439,B02,BOON LAY CC
59331,B02,BLK 773
46369,B02,BLK 413
10271,B05,OPP TANGLIN VIEW
65229,B03,BLK 298
62031,B11,BEF HOW SUN RD
11301,B12,HSE NO. 578
61031,B07,WOODLEIGH STN EXIT B
65221,B04,BLK 303D
44301,B01,OPP BLK 271
28319,B06,BLK 207
76471,B03,BLK 444
66431,B03,OPP BLK 506A
78179,B02,OPP BLK 108
21411,B02,OPP BLK 188
28131,B05,BEF JURONG LODGE 1B
28449,B04,BEF SEVENTH-DAY ADVENT CH
64049,B32,OPP THE MIDTOWN
52011,B16,BEF BISHAN RD
63149,B02,S'GOON STADIUM
59391,B10,BLK 342B
28601,B03,YUHUA SEC SCH
59139,B21,AFT CHONG PANG CC
10331,B06,BEF BT MERAH CTRL
27221,B09,SCH OF CEE
99031,B19,OPP MARANATHA B-P CH
24681,B21,OPP JURONG INSP CTR
98139,B08,AFT LOYANG WAY 1
58351,B12,Blk 483
64189,B22,AFT OLD TAMPINES RD
13159,B01,BEF ZION FULL GOSPEL CH
09169,B20,DELFI ORCHARD
23141,B02,OPP VARCO
10199,B12,DELTA SWIM CPLX
11499,B06,QUEENSTOWN PR SCH
11271,B13,AFT EAST SUSSEX LANE
97159,B02,BEF VICOM
66399,B01,OPP LOR CHUAN STN EXIT B
21621,B01,BLK 354
49021,B03,WHYE WAH DEVT & CONSTRN
24169,B10,BEF GUL CIRCLE
44029,B24,BT PANJANG STN EXIT A/ LRT
64119,B18,BLK 953
27231,B11,WEE KIM WEE SCH OF C&I
64431,B02,BLK 568
45121,B29,OPP S'PORE TURF CLUB
77329,B01,BEF PASIR RIS ST 53
77179,B03,PASIR RIS TOWN PK
32081,B21,SG GEDONG CAMP
64361,B05,BLK 535
92169,B01,BEF KATONG PO
02101,B05,AFT S'PORE FLYER
80159,B02,SUNTEC CITY
50061,B03,OPP HOTEL ROYAL
23251,B07,AFT SHIPYARD RD
11329,B09,REGENT VILLA
14081,B07,TG PAGAR DP BLK F5
82051,B02,TG KATONG RD STH P/G
83049,B08,BEF LOR 110 CHANGI
64471,B02,BLK 917
49041,B07,DHDECO PTE LTD
75039,B02,SPRINGFIELD SEC SCH
33059,B12,AFT LIM CHU KANG LANE 3A
59291,B03,BLK 666
13181,B05,AFT ONE TREE HILL
21029,B07,AFT CORPORATION PL
54281,B11,BLK 570
17361,B15,OPP WEST COAST LINK
04179,B03,AFT BRAS BASAH STN EXIT A
18251,B05,OPP REUTERS
15151,B03,OPP MAPLETREE BIZ CITY
64609,B05,BLK 687
03501,B01,MARINA BAY SANDS THEATRE
96121,B07,METTA WELFARE ASSN
21479,B04,HUP LECK HEAVY EQUIPMENT
43819,B02,HILLVIEW GREEN
49069,B12,TROPICAL FURNITURE LTD
18311,B05,BLK S12
62039,B12,Raya Gdn
29071,B10,GAS SVC INTL
41029,B16,OPP BOTANIC GDNS STN
49031,B05,OPP CROWN ALLIANCE INDUSTRIES
15079,B11,AFT LOR SARHAD
44099,B05,OPP CHOA CHU KANG MKT
54409,B03,OPP BLK 522
54259,B20,OPP GRANDEUR 8
43211,B04,SBST BT BATOK DEPOT
44699,B02,BLK 457
66049,B05,BLK 233
56059,B28,BEF TAGORE RD
11331,B06,OPP DYNASTY GDN II
23121,B08,OPP LEROY-SOMER
66041,B06,BLK 230
55049,B43,UE BIZHUB CTRL
94061,B17,KEW GREEN CONDO
98181,B17,OPP LOYANG WAY 6
44669,B05,OPP BLK 532
80151,B01,OPP SUNTEC CITY
92251,B07,OPP PARKLAND GREEN
55239,B01,SBST ANG MO KIO DEPOT
52169,B05,BLK 117
58281,B03,SEMBAWANG SEC SCH
50049,B08,OPP NOVENA LODGE
25101,B15,OPP SMC MFG
22341,B04,BLK 673C
57129,B18,BLK 114
28331,B03,BLK 229
32109,NIL,BEF LOR SERAMBI
43239,B09,THE PETALS CONDO
18109,B03,OPP PSB SCIENCE PK BLDG
43761,B16,OPP DULWICH COLL
65559,B12,OPP BLK 227A
93101,B02,AFT COLDSTREAM AVE
65611,B06,NIBONG STN EXIT B
65619,B05,NIBONG STN EXIT A
14179,B12,YEO'S BLDG
46201,B02,BLK 10
51101,B04,OLD POLICE ACAD
65629,B07,SAMUDERA STN EXIT A
19099,B01,OPP S'PORE POLY
46159,B07,BLK 206
59341,NIL,KHOO TECK PUAT HOSP
05271,B02,OPP FAIRFIELD METH CH
22369,B07,BLK 704
43629,B03,YUSOF ISHAK SEC SCH
65621,B08,SAMUDERA STN EXIT B
59421,B02,BLK 624
63061,B27,OPP BLK 25
65631,B10,AFT PUNGGOL PT STN
45399,B01,REGENT GR CONDO
59591,B02,BET BLKS 405/406
65639,B09,BEF PUNGGOL PT STN
25071,B07,OPP NISSIN TPT
12101,B03,NGEE ANN POLY
84241,B16,BLK 81
33041,B13,OPP LIM CHU KANG LANE 3
77111,B01,BEF PASIR RIS WAY
90039,B07,OPP TG RIA CONDO
49121,B09,AFT SMRT BUSES KRANJI DEPOT
76389,B01,BLK 442
23019,B19,NIPPON PAINT
44341,B03,BLK 401A CP
09037,B12,OPP MANDARIN ORCHARD
53069,B12,AFT WINDSOR PK RD
58099,B38,OPP SEMBAWANG PK
65101,B21,AFT PUNGGOL DR
34051,B01,AFT LIM CHU KANG LANE 8
18171,B08,BEF WEYHILL CL
52229,B02,JACKSON SQ
77008,NIL,PASIR RIS INT
10091,B11,BT MERAH TOWN CTR
02099,B03,MARINA CTR TER
50038,B04,NOVENA STN
75221,B08,OPP TEMASEK POLY EAST G
30051,B16,AFT TRACK 14
50079,B01,OPP CARLISLE RD
84239,B13,OPP BLK 85
84469,B14,BLK 703
67151,B02,KANGKAR STN EXIT B
90059,B11,S'PORE SWIM CLUB
43519,B08,OPP BT BATOK SWIM CPLX
24431,B01,AFT PIONEER SECTOR 2
66491,B03,OPP BLK 910
90029,B05,OPP PEBBLE BAY
06051,B01,BLK 55
84119,B05,OPP TEMASEK JC
15229,B14,BEF STH BUONA VISTA RD
28069,B10,BLK 203
02169,B01,PROMENADE STN
14471,B03A,BLK 114
47549,B08,OPP BLK 639
16099,B07,SIT DOVER
47801,B10,SUNSHINE BAKERY
16029,B20,GLORIA MANSION
46161,B06,GES S'PORE
45349,B04,OPP BLK 604A
03341,B02,BEF GDNS BY THE BAY
48111,B05,AFT MANDAI RD
63039,B22,KOVAN STN EXIT C
66339,B04,BLK 101
44011,B25,OPP THE LINEAR
14519,NIL,RESORTS WORLD SENTOSA
64231,B02,BLK 316
28561,B04,BLK 402
92179,NIL,AFT DUKU RD
50239,B03,S'PORE INDIAN ASSN
66429,B02,BLK 530
98151,B11,OPP LOYANG WAY 4
68201,B10,AFT SELETAR CAMP
59199,B02,BLK 250
21711,B16,BET BLKS 523/525
31051,B02,PUSARA AMAN MQUE
66579,B03,BLK 998B
14319,B01,BLK 28
32051,B27,AFT TRACK 11
13109,B05,UE SQ/BEF MOHD SULTAN RD
75019,UNK,TAMPINES CONCOURSE INT
54441,B01,BLK 507
97079,B14,OPP ST. JOHN'S CRES
31129,B39,AFT NIRVANA MEMORIAL GDN
51039,B16,OPP S'PORE POLO CLUB
25321,B01,YCH DISTRIPK
75241,B04,OPP TEMASEK POLY WEST G
77379,B01,BEF PASIR RIS DR 3
43481,B05,BLK 315
77371,B02,AFT PASIR RIS DR 3
55181,B11,OPP YIO CHU KANG STN
01012,B03,HOTEL GRAND PACIFIC
98049,B08,LOYANG VALLEY
44559,B01,BLK 483
13119,B03,OPP GREAT WORLD CITY
49129,B08,LIP GUAN IND
55281,B09,AFT SLE
54471,B16,OPP BLK 538
07589,B01,CH OF OUR LADY OF LOURDER
44541,B03,NORTHVALE CONDO
53041,B05,BEF THOMSON RIDGE
52129,B01,BLK 29
55269,B06,OPP BULLION PK
77201,B15,PASIR RIS ELIAS CC
13099,B07,BEF KIM YAM RD
54341,B09,OPP BLK 504
46999,B16,Opp Blk 589
45249,B12,BLK 511A
58389,B04,OPP BLK 469B
78229,B05,BLK 485
43389,B04,OPP BLK 102
43869,NIL,BEF DAIRY FARM EST NTH GATE
53221,B03,BLK 115
78079,B01,BLK 429
44051,B03,OPP BLK 632 CP
29069,B24,AFT PANDAN RD
44791,B01,WEST VIEW PRI SCH
45109,B24,BEF JLN BUMBONG
97181,B07,SEAMAP
17121,B10,BLK 610
63019,B18,AFT UPP S'GOON SHOP CTR
68049,B10,OPP JLN TARI LILIN
59111,B04,BLK 701
54351,B18,NANYANG POLY
84071,B10,BLK 71
65119,B24,OPP PUNGGOL 17TH AVE
49011,B01,OPP KIM HOCK CORP PTE LTD
42209,B01,AFT TOH TUCK RISE
42201,B02,BEF TOH TUCK RISE
45411,B05,OPP BLK 670
84501,B31,CHRIST CH
11071,B11,BLK 97
46399,B05,AFT 888 PLAZA
52221,B01,OPP JACKSON SQ
71141,B06,BLK 3023
75131,B08,BET BLKS 701/702
53389,B04,OPP BISHAN NTH SHOP MALL
21171,B01,OPP CORPORATION PL
44291,B05,OPP CCK POLYCLINIC
32049,B30,AFT LP 161
63299,B01,BLK 115
25069,B06,OPP KYOCERA CHEMICAL
96029,B06,EXPO HALLS 1/2/3
34011,B09,OPP LIM CHU KANG LANE 4
65239,B01,RIVIERA STN EXIT A
43691,B01,BLK 190
77009,NIL,PASIR RIS INT
60089,B01,OPP ST. ANDREW'S VILLAGE
28239,B09,OPP JURONG TOWN HALL
43169,B02,BLK 254
17041,B07,BLK 726 CLEMENTI WEST MKT
29019,B07,SANMINA-SCI
23159,B15,AFT FIFTH LOK YANG RD
06031,NIL,OPP BLK 13
40229,B08,AFT STEVENS STN
45099,B22,AFT JLN BUMBONG
55019,B49,THE CALROSE
96299,B04,SIMEI GREEN CONDO
77339,B05,AFT TPE
24049,B13,PASIR LABA CAMP
52499,NIL,ST. MICHAEL'S TER
68141,B11,OPP SELETAR AIRPORT
17019,B02,VARSITY PK
84259,B01,BLK 88
47609,B10,OPP BLK 793
41071,B31,OPP NATL JC
64421,B07,BLK 421
44489,B04,BLK 220
56241,B03,ST NICHOLAS GIRLS'
52509,B02,OPP TOA PAYOH SWIM CPLX
78129,B08,OPP BLK 233
67201,B02,BLK 206A
41049,B18,OPP CORONATION PLAZA
66489,B02,BLK 969
47119,B01,AFT SENOKO WAY
18179,B07,OPP WEYHILL CL
14381,B02,BLK 109
14151,B07,OPP CHR COMMUNITY CHAPEL
72011,B05,BLK 322
75109,B01,BLK 888
75081,B04,BLK 831
57011,B37,OPP SPRINGLEAF NATURE PK
43649,B03,HOMETEAMNS
54081,B07,TECK GHEE CT
98199,B01,AFT LOYANG WAY
84079,B09,SIGLAP CC / OPP BLK 71
01139,B11,PARKVIEW SQ
49059,B10,AFT LCS OPTIROC PTE LTD
49029,B04,SIT LEY TIMBER
46511,B01,MARSILING PR SCH
99139,B01,BLK 5
06039,B01,BLK 8
30011,B24,TENGAH AIR BASE
10079,B06,BLK 201
54489,B13,OPP ITE COLLEGE CTRL
29051,B21,OPP CALTEX S'PORE
49149,B07,BEF FISHING GROUND A
23061,B08,AFT KIAN TECK RD
83169,B06,BEF STILL RD
33019,B20,B20 LIM CHU KANG RD
22419,B01,JURONG WEST SUB-STN
14139,B06,BEF SEAH IM RD
83271,B04,AFT SWAN LAKE AVE
25061,B05,KYOCERA CHEMICAL
40121,B01,OPP NEWTON LIFE CH
49171,B02,OPP SHINGDA CONSTRUCTION
55199,B01,BLK 645
22231,B01,BLK 639
66439,B04,BLK 504A CP
43199,B04,CH OF ST MARY
76291,B01,ANGSANA PR SCH
13171,B03,GRAMERCY PK
78209,B03,BLK 242
46769,B03,BLK 666
55371,B05,AFT LENTOR ST
23249,B10,BEF BENOI RD
82129,B04,TG KATONG SEC SCH
52399,B04,BLK 231
28111,B01,AFT BT BATOK RD
66309,B05,BLK 112
11231,B09,AFT ESTORIL MANSIONS
14359,B01,BLK 50
64549,B03,OPP HOUGANG CTRL INT
14129,B04,HARBOURFRONT STN EXIT A
46239,NA,LARKIN TER
23169,B13,BEF KIAN TECK RD
27141,B04,BLK 920
15049,B21,BEF PSA BLDG
59051,B05,BLK 790
95109,NIL,CHANGI AIRPORT PTB3
10139,B16,BLK 1
46851,B01,BLK 664
06081,B03A,BLK 94
58051,B29,BLK 592C
05069,B09A,OUTRAM PK STN EXIT H
10021,B05,BLK 3
97179,B06,SATS CATERING
22049,B04,BEF TG KLING RD
11321,B08,OPP REGENT VILLA
52191,B04,BLK 138B
26409,NIL,MULTICO
43171,B10,BLK 229
22039,B17,MARKONO HOLDINGS
09111,B03,OPP FOUR SEASONS HOTEL
84681,B14,BLK 163
12209,B02,OPP LOGISHUB @ CLEMENTI
16891,B01,OPP BLK 420A
26031,B05,HIAP SENG ENGRG LTD
78189,B04,OPP BLK 187
11151,B07,BLK 42
75299,B06,BEF TAMPINES AVE 9
11551,B03,TIONG GHEE TP
78199,B06,OPP WHITE SANDS PRI SCH
32061,B25,OPP LP 173
64181,B21,BEF TPE
43741,B04,BT VIEW SEC SCH
84429,B04,BKJ 515
28661,B07,OPP JURONG EAST WAREHSE
58329,B02,BLK 474
43249,B07,HILLVIEW APTS
21409,B03,BLK 191
77341,B02,OPP BLK 569
93041,B17,HUA XIN CT
94019,B08,OPP EVERGREEN AVE
51071,B21,MACRITCHIE RESERVOIR
59121,B20,BLK 121
99079,B02,OPP OLD PIER ROAD
11199,B02,BLK 15
99071,B01,AFT OLD PIER RD
66559,B04,OPP BLK 984A
66561,B05,BLK 991B
66569,B06,OPP BLK 991B
75381,B01,T5@TAMPINES
84161,NA,BLK 3
10519,B01,BLK 4
22539,B04,JURONG WEST PR SCH
84251,B02,BLK 99
24149,B04,AFT JOO KOON CRES
43129,B03,CASHEW PK CONDO
18269,B06,BEF REUTERS
50159,NIL,BEF KIM KEAT LANE
63319,B07,OPP BLK 634
44519,B04,BLK 402
27291,B03,OPP HALL 6
96109,B04,OPP BLK 3012
76341,B03,BLK 464
26251,NIL,BEF TUAS STH AVE 2
63261,B05,OPP BLK 232
11579,B01,BLK 158
44511,B03,BLK 289
20109,B20,BLK 203
28391,B03,BLK 501
54189,B02,BLK 110
71099,B01,BLK 311
52181,B02,OPP TOA PAYOH STN
54429,B01,BLK 561
84191,NIL,BLK 220 CP
43201,B01,OPP AUTOBACS
28339,B04,BLK 252
14101,B09,OPP KEPPEL DP BLK 517
48039,B17,LP 159
31139,NIL,BEF TRACK 33
41041,B25,CORONATION PLAZA
46331,B04,BLK 511
43319,B05,OPP MIDVIEW BLDG
