"BUS_STOP_N,C,65","BUS_ROOF_N,C,10","LOC_DESC,C,254"
02151,B04,SUNTEC CONVENTION CTR
28349,B16,OPP CHINESE GDN STN
43309,B01,HILLBROOKS
60059,B01,BEF KALLANG PL
25221,B41,RAFFLES COUNTRY CLUB
64221,B09,OPP DEFU AVE 2
46191,B02,OPP BLK 120
71111,B03,BLK 343
71149,B05,BLK 3024
98149,B06,WACKER CHEMICALS
80279,B05,MOUNTBATTEN STN EXIT B
31171,B30,OPP JLN BERSERI
51071,B21,MACRITCHIE RESERVOIR
76449,B03,BLK 343
44671,B03,BET BLKS 502/503
98079,B14,OPP LOYANG WAY 4 / SOXAL
98039,B06,BEF NEW LOYANG LK
53189,B04,BLK 25
27431,B08,BLK 762
44441,B04,BLK 239
66451,B06,AFT ANG MO KIO IND PK 2
71071,B06,OPP COMFORT DRIVING CTR
68059,B12,AFT TPE
21431,B01,BLK 210
52061,B08,BCA ACAD
27419,B04,BLK 827
01631,B01,AFT BEACH RD
64371,B01,OPP PUNGGOL CC
29089,B07,SWANSON PLASTICS
11221,B07,LIEN TWRS
13091,B08,AFT KIM YAM RD
75291,B05,AFT TAMPINES AVE 9
27449,B09,AFT WESTWOOD AVE
66211,B03,OPP BLOXHOME DR
21531,B02,CLARIANT S'PORE
77221,B01,BLK 651
64449,B03,OPP HOUGANG G. SHOP MALL
54321,B03,BLK 354
66511,B02,YIO CHU KANG AMENITY CTR
57149,B01,AFT UPP THOMSON RD
26379,NIL,YONG NAM
41159,B08,AFT LORNIE WALK
42191,B09,BEF BT BATOK EAST AVE 6
46689,B06,BLK 609
66499,B04,BLK 911
84021,B03,BLK 32
94009,NIL,UPP EAST COAST TER
52389,B06,BLK 227
43121,B04,AFT CASHEW TERR
21369,B03,OPP BLK 695
16041,B23,OPP LUXE VILLE
76179,B03,OPP BLK 266
42299,B02,AFT TOH TUCK CRES
18069,B04,OPP BLK 71
24461,B01,BEF NAM LEONG CO PTE LTD
41109,B04,OPP ST. MARGARET'S SEC SCH
71021,B05,OPP COMFORT TEST CTR
22359,B05,BEF BLK 717
97051,B07,OPP CHANGI WOMEN'S PRISON
63081,B14,OPP BLK 241
64611,B08,BLK 913
27391,B06,BLK 857
59141,B02,BLK 741
80031,B01,KALLANG STN
63381,B13,XINMIN PR SCH
58299,B03,BLK 328
66149,B01,AFT YIO CHU KANG RD
33029,B18,AFT NEO TIEW RD
91051,B13,OPP SANTA FE MANSIONS
50991,B01,BLK 82
09191,B01,THE REGENT S'PORE
44401,NIL,OPP BLK 183
15149,B02,LABRADOR PK STN / PSA BLDG
84479,B16,BLK 713
64489,B03,BLK 946A
43531,B04,BLK 140
44501,B05,BLK 426
66251,B01,OPP KINGSWEAR AVE
21331,B10,OPP PREMIER MILK PTE LTD
20061,B02,AFT JURONG TOWN HALL RD
93059,B12,AFT JLN BUROH PERINDU
67521,B05,BLK 160
76119,B05,OPP BLK 945
70011,B07,OPP BLK 125
52439,B03,OPP BLK 5
10119,B14,OPP PACIFIC TECH CTR
28351,B17,OPP BLK 350
53229,B04,BLK 501
91101,B03,TG KATONG FLYOVER
49209,B01,SG BULOH WETLAND RESERVE
67331,B05,BLK 200B
25411,B01,BEF TUAS TER
80251,B01,AFT LOR 14 GEYLANG
80141,B04,OPP S.A. DEAF
53409,B03,BLK 131
58121,B07,BLK 424A CP
53091,B15,BEF ANG MO KIO AVE 1
47121,B03,OPP LIAN AIK SIONG MACHINERY
77249,B18,BLK 640
